0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
136 | uncoupling protein | transport membrane protein | infrared ray | electromagnetic energy 
137 | uncoupling protein | channel protein | infrared ray | light 
138 | NAD plus | organic molecule | denatured protein | protein 
138 | NAD plus | organic molecule | denatured protein | organic molecule 
138 | NAD plus | organic molecule | denatured protein | polymer 
139 | cytochrome complex | protein complex | motor protein | protein 
140 | amino group | functional group | polar side chain | R-group 
141 | NADH | molecule | cytochrome A3 | cytochrome 
141 | NADH | molecule | cytochrome A3 | protein 
141 | NADH | molecule | cytochrome A3 | organic molecule 
141 | NADH | molecule | cytochrome A3 | polymer 
142 | NADH | organic molecule | cytochrome A3 | cytochrome 
142 | NADH | organic molecule | cytochrome A3 | protein 
143 | Catabolic pathway | Metabolic pathway | Cell signaling with Ca2 plus and IP3 | Cell signaling with plasma membrane receptor 
144 | Catabolic pathway | Exergonic reaction | Cell signaling with Ca2 plus and IP3 | Cell signaling with plasma membrane receptor 
145 | hemoglobin | water soluble protein | Signal transduction with Ca2 plus | Signal transduction with second messenger 
145 | hemoglobin | water soluble protein | Signal transduction with Ca2 plus | Signal transduction 
146 | hemoglobin | pigment | Signal transduction with Ca2 plus | Signal transduction with second messenger 
146 | hemoglobin | pigment | Signal transduction with Ca2 plus | Signal transduction 
147 | hemoglobin | protein | Signal transduction with Ca2 plus | Signal transduction with second messenger 
147 | hemoglobin | protein | Signal transduction with Ca2 plus | Signal transduction 
148 | hemoglobin | globular protein | Signal transduction with Ca2 plus | Signal transduction with second messenger 
149 | sodium-potassium pump | transmembrane protein | isomerase | protein enzyme 
149 | sodium-potassium pump | transmembrane protein | isomerase | enzyme 
149 | sodium-potassium pump | transmembrane protein | isomerase | protein 
149 | sodium-potassium pump | transmembrane protein | isomerase | organic molecule 
149 | sodium-potassium pump | transmembrane protein | isomerase | polymer 
150 | sodium-potassium pump | transport membrane protein | isomerase | protein enzyme 
150 | sodium-potassium pump | transport membrane protein | isomerase | enzyme 
150 | sodium-potassium pump | transport membrane protein | isomerase | protein 
151 | sodium-potassium pump | carrier protein | isomerase | protein enzyme 
152 | phospholipid | amphipathic molecule | beta sheet | secondary structure 
153 | phospholipid | lipid | beta sheet | secondary structure 
154 | Phagocytosis | Endocytosis | tight junction | intercellular junction 
155 | Catabolism | Metabolism | serine | polar amino acid 
156 | Catabolism | Exergonic process | serine | polar amino acid 
157 | Cellular respiration | Catabolic pathway | phospholipid | lipid 
157 | Cellular respiration | Catabolic pathway | phospholipid | amphipathic molecule 
158 | Cellular respiration | Aerobic metabolism | phospholipid | lipid 
158 | Cellular respiration | Aerobic metabolism | phospholipid | amphipathic molecule 
159 | alcohol | organic molecule | amphipathic molecule | molecule 
160 | G-protein | protein | membrane protein | protein 
160 | G-protein | protein | membrane protein | organic molecule 
160 | G-protein | protein | membrane protein | polymer 
161 | alanine | hydrophobic amino acid | desmotubule | cellular structure 
162 | basal body | cellular structure | neutral solution | aqueous solution 
163 | tight junction | cellular structure | glycerol | alcohol 
163 | tight junction | cellular structure | glycerol | organic molecule 
163 | tight junction | cellular structure | glycerol | molecule 
164 | tight junction | intercellular junction | glycerol | alcohol 
165 | organelle | cellular structure | photosynthetic pigment | pigment 
166 | carbon 14 atom | radioactive isotope | salt | ionic compound 
167 | phospholipid bilayer | cellular structure | law of thermodynamics | scientific law 
168 | tyrosine | hydrophilic amino acid | diacylglycerol | phospholipid 
168 | tyrosine | hydrophilic amino acid | diacylglycerol | lipid 
168 | tyrosine | hydrophilic amino acid | diacylglycerol | amphipathic molecule 
169 | tyrosine | polar amino acid | diacylglycerol | phospholipid 
170 | plastid | organelle | triglyceride | lipid 
171 | visible light | electromagnetic energy | Golgi apparatus | organelle 
171 | visible light | electromagnetic energy | Golgi apparatus | cellular structure 
172 | visible light | light | Golgi apparatus | organelle 
173 | pigment | organic molecule | plasmodesmata | intercellular junction 
174 | Polymer synthesis | Metabolic pathway | unsaturated fatty acid | fatty acid 
174 | Polymer synthesis | Metabolic pathway | unsaturated fatty acid | hydrophobic compound 
174 | Polymer synthesis | Metabolic pathway | unsaturated fatty acid | carboxylic acid 
175 | Polymer synthesis | Endergonic reaction | unsaturated fatty acid | fatty acid 
175 | Polymer synthesis | Endergonic reaction | unsaturated fatty acid | hydrophobic compound 
175 | Polymer synthesis | Endergonic reaction | unsaturated fatty acid | carboxylic acid 
176 | Polymer synthesis | Chemical reaction | unsaturated fatty acid | fatty acid 
176 | Polymer synthesis | Chemical reaction | unsaturated fatty acid | hydrophobic compound 
176 | Polymer synthesis | Chemical reaction | unsaturated fatty acid | carboxylic acid 
177 | Polymer synthesis | Anabolic pathway | unsaturated fatty acid | fatty acid 
178 | plasmodesmata | intercellular junction | mitogen-activated protein kinase | protein kinase 
179 | denatured protein | protein | Protein denaturation by denaturation agent | Protein denaturation 
180 | integral protein | polymer | rubisco | lyase 
180 | integral protein | polymer | rubisco | protein enzyme 
180 | integral protein | polymer | rubisco | enzyme 
180 | integral protein | polymer | rubisco | protein 
181 | integral protein | organic molecule | rubisco | lyase 
181 | integral protein | organic molecule | rubisco | protein enzyme 
181 | integral protein | organic molecule | rubisco | enzyme 
181 | integral protein | organic molecule | rubisco | protein 
182 | integral protein | protein | rubisco | lyase 
182 | integral protein | protein | rubisco | protein enzyme 
183 | integral protein | molecule | rubisco | lyase 
183 | integral protein | molecule | rubisco | protein enzyme 
184 | integral protein | amphipathic molecule | rubisco | lyase 
185 | glyceraldehyde-3-phosphate | triose | multicellular organism | organism 
186 | cytochrome A3 | protein | first law of thermodynamics | law of thermodynamics 
186 | cytochrome A3 | protein | first law of thermodynamics | scientific law 
187 | cytochrome A3 | cytochrome | first law of thermodynamics | law of thermodynamics 
188 | glycosidic linkage | covalent bond | plant cell-wall | cell wall 
188 | glycosidic linkage | covalent bond | plant cell-wall | cellular structure 
189 | glycosidic linkage | polar covalent bond | plant cell-wall | cell wall 
190 | centrosome | cellular structure | Pyruvate oxidation | Catabolic pathway 
190 | centrosome | cellular structure | Pyruvate oxidation | Exergonic reaction 
190 | centrosome | cellular structure | Pyruvate oxidation | Metabolic pathway 
191 | centrosome | microtubule organizing center | Pyruvate oxidation | Catabolic pathway 
192 | fungus | organism | glycoprotein | protein 
192 | fungus | organism | glycoprotein | amphipathic molecule 
192 | fungus | organism | glycoprotein | organic molecule 
192 | fungus | organism | glycoprotein | polymer 
192 | fungus | organism | glycoprotein | molecule 
193 | fungus | eukaryote | glycoprotein | protein 
193 | fungus | eukaryote | glycoprotein | amphipathic molecule 
194 | Citric acid cycle | Metabolic pathway | coenzyme A | organic molecule 
194 | Citric acid cycle | Metabolic pathway | coenzyme A | molecule 
195 | Citric acid cycle | Exergonic reaction | coenzyme A | organic molecule 
195 | Citric acid cycle | Exergonic reaction | coenzyme A | molecule 
196 | Citric acid cycle | Catabolic pathway | coenzyme A | organic molecule 
197 | adenine | nitrogenous base | alcohol | organic molecule 
197 | adenine | nitrogenous base | alcohol | molecule 
198 | adenine | purine | alcohol | organic molecule 
199 | Signal transduction with IP3 | Signal transduction | double bond | covalent bond 
200 | purine | compound | threonine | polar amino acid 
200 | purine | compound | threonine | hydrophilic amino acid 
200 | purine | compound | threonine | amino acid 
201 | purine | nitrogenous base | threonine | polar amino acid 
202 | intermediate filament | molecule | PEP carboxylase | oxidoreductase 
202 | intermediate filament | molecule | PEP carboxylase | protein enzyme 
202 | intermediate filament | molecule | PEP carboxylase | enzyme 
202 | intermediate filament | molecule | PEP carboxylase | protein 
202 | intermediate filament | molecule | PEP carboxylase | organic molecule 
202 | intermediate filament | molecule | PEP carboxylase | polymer 
203 | intermediate filament | polymer | PEP carboxylase | oxidoreductase 
203 | intermediate filament | polymer | PEP carboxylase | protein enzyme 
203 | intermediate filament | polymer | PEP carboxylase | enzyme 
203 | intermediate filament | polymer | PEP carboxylase | protein 
204 | intermediate filament | organic molecule | PEP carboxylase | oxidoreductase 
204 | intermediate filament | organic molecule | PEP carboxylase | protein enzyme 
204 | intermediate filament | organic molecule | PEP carboxylase | enzyme 
204 | intermediate filament | organic molecule | PEP carboxylase | protein 
205 | intermediate filament | protein | PEP carboxylase | oxidoreductase 
205 | intermediate filament | protein | PEP carboxylase | protein enzyme 
206 | beta tubulin | polypeptide | Dehydration reaction | Condensation reaction 
207 | radioactive isotope | atom | plant | eukaryote 
207 | radioactive isotope | atom | plant | organism 
208 | radioactive isotope | isotope | plant | eukaryote 
209 | proline | hydrophobic amino acid | sulfhydryl group | functional group 
210 | nonpolar molecule | compound | pentose | monosaccharide 
210 | nonpolar molecule | compound | pentose | sugar 
211 | nonpolar molecule | hydrophobic compound | pentose | monosaccharide 
212 | nonpolar molecule | molecule | pentose | monosaccharide 
213 | carrier protein | transmembrane protein | cholesterol | amphipathic molecule 
213 | carrier protein | transmembrane protein | cholesterol | steroid 
213 | carrier protein | transmembrane protein | cholesterol | molecule 
213 | carrier protein | transmembrane protein | cholesterol | lipid 
214 | carrier protein | transport membrane protein | cholesterol | amphipathic molecule 
214 | carrier protein | transport membrane protein | cholesterol | steroid 
215 | calcium | atom | chromoplast | plastid 
215 | calcium | atom | chromoplast | organelle 
216 | Photorespiration | Chemical reaction | allosteric enzyme | protein enzyme 
216 | Photorespiration | Chemical reaction | allosteric enzyme | enzyme 
216 | Photorespiration | Chemical reaction | allosteric enzyme | protein 
216 | Photorespiration | Chemical reaction | allosteric enzyme | organic molecule 
216 | Photorespiration | Chemical reaction | allosteric enzyme | polymer 
217 | Photorespiration | Metabolic pathway | allosteric enzyme | protein enzyme 
218 | Light microscopy | Microscopy | peroxisome | organelle 
219 | hydrophilic amino acid | organic molecule | sodium chloride | salt 
219 | hydrophilic amino acid | organic molecule | sodium chloride | ionic compound 
220 | hydrophilic amino acid | amino acid | sodium chloride | salt 
221 | Light reaction | Chemical reaction | Reversible non competitive inhibition | Non competitive inhibition 
221 | Light reaction | Chemical reaction | Reversible non competitive inhibition | Inhibition 
221 | Light reaction | Chemical reaction | Reversible non competitive inhibition | Regulation 
222 | Light reaction | Metabolic pathway | Reversible non competitive inhibition | Non competitive inhibition 
223 | plastocyanin | protein | bacterium | prokaryote 
224 | light | energy | Facilitated diffusion | Passive transport 
224 | light | energy | Facilitated diffusion | Diffusion 
224 | light | energy | Facilitated diffusion | Spontaneous change 
225 | light | radiation | Facilitated diffusion | Passive transport 
225 | light | radiation | Facilitated diffusion | Diffusion 
226 | light | electromagnetic energy | Facilitated diffusion | Passive transport 
227 | olive oil | oil | saturated fatty acid | fatty acid 
227 | olive oil | oil | saturated fatty acid | hydrophobic compound 
227 | olive oil | oil | saturated fatty acid | carboxylic acid 
228 | carotenoid | accessory pigment | protein | organic molecule 
228 | carotenoid | accessory pigment | protein | polymer 
229 | granum | cellular structure | peroxisome | organelle 
230 | threonine | hydrophilic amino acid | water molecule | polar molecule 
230 | threonine | hydrophilic amino acid | water molecule | molecule 
230 | threonine | hydrophilic amino acid | water molecule | hydrophilic compound 
231 | threonine | polar amino acid | water molecule | polar molecule 
232 | Signal transduction with testosterone | Signal transduction | valine | hydrophobic amino acid 
233 | phosphate group | functional group | RNA | nucleic acid 
234 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | structural polysaccharide | polysaccharide 
234 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | structural polysaccharide | carbohydrate 
234 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | structural polysaccharide | polymer 
235 | alpha tubulin | polymer | water molecule | polar molecule 
235 | alpha tubulin | polymer | water molecule | molecule 
235 | alpha tubulin | polymer | water molecule | hydrophilic compound 
236 | alpha tubulin | organic molecule | water molecule | polar molecule 
236 | alpha tubulin | organic molecule | water molecule | molecule 
236 | alpha tubulin | organic molecule | water molecule | hydrophilic compound 
237 | alpha tubulin | polypeptide | water molecule | polar molecule 
238 | first law of thermodynamics | law of thermodynamics | Cell signaling with receptor tyrosine kinase | Cell signaling with plasma membrane receptor 
239 | ferredoxin | molecule | tubulin | globular protein 
239 | ferredoxin | molecule | tubulin | water soluble protein 
239 | ferredoxin | molecule | tubulin | protein 
239 | ferredoxin | molecule | tubulin | organic molecule 
239 | ferredoxin | molecule | tubulin | polymer 
240 | ferredoxin | polymer | tubulin | globular protein 
240 | ferredoxin | polymer | tubulin | water soluble protein 
240 | ferredoxin | polymer | tubulin | protein 
241 | ferredoxin | organic molecule | tubulin | globular protein 
241 | ferredoxin | organic molecule | tubulin | water soluble protein 
241 | ferredoxin | organic molecule | tubulin | protein 
242 | ferredoxin | protein | tubulin | globular protein 
242 | ferredoxin | protein | tubulin | water soluble protein 
243 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | glycine | hydrophobic amino acid 
243 | Cell signaling with nitric oxide | Cell signaling with intracellular receptor | glycine | amino acid 
244 | NADPH | molecule | tubulin | globular protein 
244 | NADPH | molecule | tubulin | water soluble protein 
244 | NADPH | molecule | tubulin | protein 
245 | NADPH | organic molecule | tubulin | globular protein 
245 | NADPH | organic molecule | tubulin | water soluble protein 
246 | multiprotein complex IV | protein complex | vesicle | cellular structure 
247 | polar molecule | hydrophilic compound | Light microscopy | Microscopy 
248 | polar molecule | molecule | Light microscopy | Microscopy 
249 | ultraviolet ray | light | first electron-shell | electron-shell 
250 | Protein kinase cascade | Cascade | phospholipid | lipid 
250 | Protein kinase cascade | Cascade | phospholipid | amphipathic molecule 
251 | plastocyanin | protein | strong acid | acid 
252 | tight junction | intercellular junction | Protein kinase cascade | Cascade 
253 | gated Channel | channel protein | tight junction | intercellular junction 
254 | isomerase | protein enzyme | Light reaction | Metabolic pathway 
255 | protein | polymer | muscle cell | animal cell 
256 | protein | organic molecule | muscle cell | animal cell 
257 | structural polysaccharide | polysaccharide | triglyceride | lipid 
258 | chlorophyll A | hydrocarbon molecule | ion-channel | channel protein 
