3 | extra cellular matrix | motor protein | nuclear-envelope | carbon skeleton 
166 | sulfhydryl group | sulfur atom | tertiary protein structure | van der waals interaction 
166 | sulfhydryl group | sulfur atom | tertiary protein structure | hydrophobic interaction 
166 | sulfhydryl group | sulfur atom | tertiary protein structure | secondary structure 
167 | sulfhydryl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
167 | sulfhydryl group | hydrogen atom | tertiary protein structure | van der waals interaction 
167 | sulfhydryl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
167 | sulfhydryl group | hydrogen atom | tertiary protein structure | secondary structure 
168 | chloroplast membrane | carbon skeleton | cisternal space | aqueous solution 
169 | chloroplast membrane | carbon skeleton | cisternal space | aqueous solution 
172 | amino group | nitrogen atom | amyloplast | starch 
173 | amino group | hydrogen atom | amyloplast | starch 
181 | first electron-shell | atomic nucleus | chloroplast | stroma 
182 | carboxyl group | hydrogen atom | chloroplast | stroma 
183 | carboxyl group | oxygen atom | chloroplast | stroma 
184 | carboxyl group | oxygen atom | chloroplast | stroma 
185 | extra cellular matrix | motor protein | chloroplast | stroma 
186 | extra cellular matrix | aqueous solution | chloroplast | stroma 
187 | thylakoid space | aqueous solution | capsule | cell wall 
188 | thylakoid space | aqueous solution | capsule | cell wall 
191 | thylakoid space | aqueous solution | secondary structure | primary structure 
191 | thylakoid space | aqueous solution | secondary structure | hydrogen-bond 
192 | thylakoid space | aqueous solution | secondary structure | primary structure 
192 | thylakoid space | aqueous solution | secondary structure | hydrogen-bond 
201 | nucleus | nucleolus | first electron-shell | atomic nucleus 
202 | hydration shell | water molecule | membrane | carbon skeleton 
203 | hydration shell | water molecule | membrane | carbon skeleton 
205 | nuclear-envelope | carbon skeleton | cisternal space | aqueous solution 
207 | first electron-shell | atomic nucleus | secondary structure | primary structure 
207 | first electron-shell | atomic nucleus | secondary structure | hydrogen-bond 
218 | mitochondrial matrix | aqueous solution | thylakoid space | aqueous solution 
218 | mitochondrial matrix | aqueous solution | thylakoid space | aqueous solution 
219 | mitochondrial matrix | protein enzyme | thylakoid space | aqueous solution 
219 | mitochondrial matrix | protein enzyme | thylakoid space | aqueous solution 
220 | mitochondrial matrix | ribosome | thylakoid space | aqueous solution 
220 | mitochondrial matrix | ribosome | thylakoid space | aqueous solution 
221 | ER membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
222 | ER membrane | cisternal space | nuclear-envelope | carbon skeleton 
226 | peroxisome | protein enzyme | nuclear-envelope | carbon skeleton 
227 | peroxisome | protein enzyme | nuclear-envelope | carbon skeleton 
230 | peroxisome | protein enzyme | tertiary protein structure | hydrogen-bond 
230 | peroxisome | protein enzyme | tertiary protein structure | van der waals interaction 
230 | peroxisome | protein enzyme | tertiary protein structure | hydrophobic interaction 
230 | peroxisome | protein enzyme | tertiary protein structure | secondary structure 
231 | peroxisome | protein enzyme | tertiary protein structure | hydrogen-bond 
231 | peroxisome | protein enzyme | tertiary protein structure | van der waals interaction 
231 | peroxisome | protein enzyme | tertiary protein structure | hydrophobic interaction 
231 | peroxisome | protein enzyme | tertiary protein structure | secondary structure 
244 | chloroplast | stroma | chloroplast | stroma 
246 | second electron-shell | first electron-shell | secondary structure | primary structure 
246 | second electron-shell | first electron-shell | secondary structure | hydrogen-bond 
247 | hydroxyl group | hydrogen atom | chloroplast | stroma 
248 | hydroxyl group | oxygen atom | chloroplast | stroma 
259 | stroma | ribosome | amyloplast | starch 
260 | stroma | protein enzyme | amyloplast | starch 
261 | stroma | protein enzyme | amyloplast | starch 
262 | stroma | MRNA | amyloplast | starch 
276 | membrane | carbon skeleton | capsule | cell wall 
279 | chloroplast membrane | carbon skeleton | membrane | carbon skeleton 
280 | chloroplast membrane | carbon skeleton | membrane | carbon skeleton 
283 | nucleus | nucleolus | amyloplast | starch 
284 | hydration shell | water molecule | second electron-shell | first electron-shell 
285 | hydration shell | water molecule | second electron-shell | first electron-shell 
293 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
293 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
294 | phosphate group | phosphorus atom | thylakoid space | aqueous solution 
294 | phosphate group | phosphorus atom | thylakoid space | aqueous solution 
295 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
295 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
299 | second electron-shell | first electron-shell | cisternal space | aqueous solution 
300 | carbonyl group | oxygen atom | first electron-shell | atomic nucleus 
308 | methyl group | hydrogen atom | capsule | cell wall 
312 | carboxyl group | hydrogen atom | cisternal space | aqueous solution 
313 | carboxyl group | oxygen atom | cisternal space | aqueous solution 
314 | carboxyl group | oxygen atom | cisternal space | aqueous solution 
317 | chloroplast membrane | carbon skeleton | amyloplast | starch 
318 | chloroplast membrane | carbon skeleton | amyloplast | starch 
319 | mitochondrial membrane | carbon skeleton | tertiary protein structure | hydrogen-bond 
319 | mitochondrial membrane | carbon skeleton | tertiary protein structure | van der waals interaction 
319 | mitochondrial membrane | carbon skeleton | tertiary protein structure | hydrophobic interaction 
319 | mitochondrial membrane | carbon skeleton | tertiary protein structure | secondary structure 
323 | hydration shell | water molecule | tertiary protein structure | hydrogen-bond 
323 | hydration shell | water molecule | tertiary protein structure | van der waals interaction 
323 | hydration shell | water molecule | tertiary protein structure | hydrophobic interaction 
323 | hydration shell | water molecule | tertiary protein structure | secondary structure 
324 | hydration shell | water molecule | tertiary protein structure | hydrogen-bond 
324 | hydration shell | water molecule | tertiary protein structure | van der waals interaction 
324 | hydration shell | water molecule | tertiary protein structure | hydrophobic interaction 
324 | hydration shell | water molecule | tertiary protein structure | secondary structure 
328 | second electron-shell | first electron-shell | capsule | cell wall 
332 | amyloplast | starch | tertiary protein structure | hydrogen-bond 
332 | amyloplast | starch | tertiary protein structure | van der waals interaction 
332 | amyloplast | starch | tertiary protein structure | hydrophobic interaction 
332 | amyloplast | starch | tertiary protein structure | secondary structure 
340 | chloroplast | stroma | membrane | carbon skeleton 
352 | chloroplast membrane | carbon skeleton | secondary structure | primary structure 
352 | chloroplast membrane | carbon skeleton | secondary structure | hydrogen-bond 
353 | chloroplast membrane | carbon skeleton | secondary structure | primary structure 
353 | chloroplast membrane | carbon skeleton | secondary structure | hydrogen-bond 
358 | hydroxyl group | hydrogen atom | chloroplast | stroma 
359 | hydroxyl group | oxygen atom | chloroplast | stroma 
360 | carbonyl group | oxygen atom | first electron-shell | atomic nucleus 
361 | hydration shell | water molecule | second electron-shell | first electron-shell 
362 | hydration shell | water molecule | second electron-shell | first electron-shell 
369 | leaf | oxygen molecule | capsule | cell wall 
373 | carboxyl group | hydrogen atom | thylakoid space | aqueous solution 
373 | carboxyl group | hydrogen atom | thylakoid space | aqueous solution 
374 | carboxyl group | oxygen atom | thylakoid space | aqueous solution 
374 | carboxyl group | oxygen atom | thylakoid space | aqueous solution 
375 | carboxyl group | oxygen atom | thylakoid space | aqueous solution 
375 | carboxyl group | oxygen atom | thylakoid space | aqueous solution 
385 | capsule | cell wall | first electron-shell | atomic nucleus 
387 | atomic nucleus | proton | nuclear-envelope | carbon skeleton 
388 | extra cellular matrix | motor protein | capsule | cell wall 
389 | extra cellular matrix | aqueous solution | capsule | cell wall 
393 | carboxyl group | hydrogen atom | capsule | cell wall 
394 | carboxyl group | oxygen atom | capsule | cell wall 
395 | carboxyl group | oxygen atom | capsule | cell wall 
401 | peroxisome | protein enzyme | second electron-shell | first electron-shell 
402 | peroxisome | protein enzyme | second electron-shell | first electron-shell 
409 | amyloplast | starch | capsule | cell wall 
412 | leaf | oxygen molecule | chloroplast | stroma 
415 | stroma | ribosome | second electron-shell | first electron-shell 
416 | stroma | protein enzyme | second electron-shell | first electron-shell 
417 | stroma | protein enzyme | second electron-shell | first electron-shell 
418 | stroma | MRNA | second electron-shell | first electron-shell 
422 | amyloplast | starch | first electron-shell | atomic nucleus 
424 | nuclear-envelope | carbon skeleton | membrane | carbon skeleton 
434 | tertiary protein structure | hydrogen-bond | first electron-shell | atomic nucleus 
435 | tertiary protein structure | van der waals interaction | first electron-shell | atomic nucleus 
436 | tertiary protein structure | hydrophobic interaction | first electron-shell | atomic nucleus 
437 | tertiary protein structure | secondary structure | first electron-shell | atomic nucleus 
450 | atomic nucleus | proton | secondary structure | primary structure 
450 | atomic nucleus | proton | secondary structure | hydrogen-bond 
456 | carbonyl group | oxygen atom | nuclear-envelope | carbon skeleton 
487 | nuclear-envelope | carbon skeleton | thylakoid space | aqueous solution 
487 | nuclear-envelope | carbon skeleton | thylakoid space | aqueous solution 
496 | orbital | electron | thylakoid space | aqueous solution 
496 | orbital | electron | thylakoid space | aqueous solution 
497 | glyoxysome | protein enzyme | chloroplast | stroma 
498 | glyoxysome | protein enzyme | chloroplast | stroma 
499 | amino group | nitrogen atom | nuclear-envelope | carbon skeleton 
500 | amino group | hydrogen atom | nuclear-envelope | carbon skeleton 
503 | carbonyl group | oxygen atom | first electron-shell | atomic nucleus 
506 | chloroplast | stroma | chloroplast | stroma 
507 | secondary structure | primary structure | membrane | carbon skeleton 
508 | secondary structure | hydrogen-bond | membrane | carbon skeleton 
511 | amyloplast | starch | cisternal space | aqueous solution 
514 | thylakoid space | aqueous solution | thylakoid space | aqueous solution 
514 | thylakoid space | aqueous solution | thylakoid space | aqueous solution 
515 | thylakoid space | aqueous solution | thylakoid space | aqueous solution 
515 | thylakoid space | aqueous solution | thylakoid space | aqueous solution 
516 | phosphate group | oxygen atom | membrane | carbon skeleton 
517 | phosphate group | phosphorus atom | membrane | carbon skeleton 
518 | phosphate group | oxygen atom | membrane | carbon skeleton 
519 | ER membrane | carbon skeleton | second electron-shell | first electron-shell 
520 | ER membrane | cisternal space | second electron-shell | first electron-shell 
521 | sulfhydryl group | sulfur atom | tertiary protein structure | hydrogen-bond 
521 | sulfhydryl group | sulfur atom | tertiary protein structure | van der waals interaction 
521 | sulfhydryl group | sulfur atom | tertiary protein structure | hydrophobic interaction 
521 | sulfhydryl group | sulfur atom | tertiary protein structure | secondary structure 
522 | sulfhydryl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
522 | sulfhydryl group | hydrogen atom | tertiary protein structure | van der waals interaction 
522 | sulfhydryl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
522 | sulfhydryl group | hydrogen atom | tertiary protein structure | secondary structure 
524 | nuclear-envelope | carbon skeleton | capsule | cell wall 
530 | amino group | nitrogen atom | secondary structure | primary structure 
530 | amino group | nitrogen atom | secondary structure | hydrogen-bond 
531 | amino group | hydrogen atom | secondary structure | primary structure 
531 | amino group | hydrogen atom | secondary structure | hydrogen-bond 
537 | glyoxysome | protein enzyme | secondary structure | primary structure 
537 | glyoxysome | protein enzyme | secondary structure | hydrogen-bond 
538 | glyoxysome | protein enzyme | secondary structure | primary structure 
538 | glyoxysome | protein enzyme | secondary structure | hydrogen-bond 
551 | nucleus | nucleolus | thylakoid space | aqueous solution 
551 | nucleus | nucleolus | thylakoid space | aqueous solution 
562 | amyloplast | starch | amyloplast | starch 
570 | carboxyl group | hydrogen atom | capsule | cell wall 
571 | carboxyl group | oxygen atom | capsule | cell wall 
572 | carboxyl group | oxygen atom | capsule | cell wall 
575 | secondary structure | primary structure | membrane | carbon skeleton 
576 | secondary structure | hydrogen-bond | membrane | carbon skeleton 
577 | phosphate group | oxygen atom | second electron-shell | first electron-shell 
578 | phosphate group | phosphorus atom | second electron-shell | first electron-shell 
579 | phosphate group | oxygen atom | second electron-shell | first electron-shell 
582 | nuclear-envelope | carbon skeleton | capsule | cell wall 
585 | orbital | electron | nuclear-envelope | carbon skeleton 
586 | hydroxyl group | hydrogen atom | nuclear-envelope | carbon skeleton 
587 | hydroxyl group | oxygen atom | nuclear-envelope | carbon skeleton 
595 | leaf | oxygen molecule | capsule | cell wall 
619 | extra cellular matrix | motor protein | first electron-shell | atomic nucleus 
620 | extra cellular matrix | aqueous solution | first electron-shell | atomic nucleus 
627 | leaf | oxygen molecule | tertiary protein structure | hydrogen-bond 
627 | leaf | oxygen molecule | tertiary protein structure | van der waals interaction 
627 | leaf | oxygen molecule | tertiary protein structure | hydrophobic interaction 
627 | leaf | oxygen molecule | tertiary protein structure | secondary structure 
628 | hydroxyl group | hydrogen atom | capsule | cell wall 
629 | hydroxyl group | oxygen atom | capsule | cell wall 
645 | carbonyl group | oxygen atom | first electron-shell | atomic nucleus 
647 | chloroplast membrane | carbon skeleton | second electron-shell | first electron-shell 
648 | chloroplast membrane | carbon skeleton | second electron-shell | first electron-shell 
653 | methyl group | hydrogen atom | first electron-shell | atomic nucleus 
656 | atomic nucleus | proton | first electron-shell | atomic nucleus 
658 | methyl group | hydrogen atom | amyloplast | starch 
673 | cisternal space | aqueous solution | second electron-shell | first electron-shell 
676 | extra cellular matrix | motor protein | second electron-shell | first electron-shell 
677 | extra cellular matrix | aqueous solution | second electron-shell | first electron-shell 
682 | phosphate group | oxygen atom | secondary structure | primary structure 
682 | phosphate group | oxygen atom | secondary structure | hydrogen-bond 
683 | phosphate group | phosphorus atom | secondary structure | primary structure 
683 | phosphate group | phosphorus atom | secondary structure | hydrogen-bond 
684 | phosphate group | oxygen atom | secondary structure | primary structure 
684 | phosphate group | oxygen atom | secondary structure | hydrogen-bond 
691 | chloroplast membrane | carbon skeleton | cisternal space | aqueous solution 
692 | chloroplast membrane | carbon skeleton | cisternal space | aqueous solution 
698 | peroxisome | protein enzyme | second electron-shell | first electron-shell 
699 | peroxisome | protein enzyme | second electron-shell | first electron-shell 
703 | nucleus | nucleolus | chloroplast | stroma 
706 | carbonyl group | oxygen atom | thylakoid space | aqueous solution 
706 | carbonyl group | oxygen atom | thylakoid space | aqueous solution 
709 | leaf | oxygen molecule | cisternal space | aqueous solution 
710 | glyoxysome | protein enzyme | first electron-shell | atomic nucleus 
711 | glyoxysome | protein enzyme | first electron-shell | atomic nucleus 
715 | hydroxyl group | hydrogen atom | nuclear-envelope | carbon skeleton 
716 | hydroxyl group | oxygen atom | nuclear-envelope | carbon skeleton 
719 | sulfhydryl group | sulfur atom | capsule | cell wall 
720 | sulfhydryl group | hydrogen atom | capsule | cell wall 
728 | second electron-shell | first electron-shell | secondary structure | primary structure 
728 | second electron-shell | first electron-shell | secondary structure | hydrogen-bond 
740 | first electron-shell | atomic nucleus | capsule | cell wall 
748 | leaf | oxygen molecule | chloroplast | stroma 
749 | stroma | ribosome | first electron-shell | atomic nucleus 
750 | stroma | protein enzyme | first electron-shell | atomic nucleus 
751 | stroma | protein enzyme | first electron-shell | atomic nucleus 
752 | stroma | MRNA | first electron-shell | atomic nucleus 
764 | mitochondrial membrane | carbon skeleton | secondary structure | primary structure 
764 | mitochondrial membrane | carbon skeleton | secondary structure | hydrogen-bond 
765 | nuclear-envelope | carbon skeleton | second electron-shell | first electron-shell 
767 | capsule | cell wall | cisternal space | aqueous solution 
770 | tertiary protein structure | hydrogen-bond | cisternal space | aqueous solution 
771 | tertiary protein structure | van der waals interaction | cisternal space | aqueous solution 
772 | tertiary protein structure | hydrophobic interaction | cisternal space | aqueous solution 
773 | tertiary protein structure | secondary structure | cisternal space | aqueous solution 
784 | nucleus | nucleolus | amyloplast | starch 
794 | glyoxysome | protein enzyme | nuclear-envelope | carbon skeleton 
795 | glyoxysome | protein enzyme | nuclear-envelope | carbon skeleton 
800 | mitochondrial matrix | aqueous solution | tertiary protein structure | hydrogen-bond 
800 | mitochondrial matrix | aqueous solution | tertiary protein structure | van der waals interaction 
800 | mitochondrial matrix | aqueous solution | tertiary protein structure | hydrophobic interaction 
800 | mitochondrial matrix | aqueous solution | tertiary protein structure | secondary structure 
801 | mitochondrial matrix | protein enzyme | tertiary protein structure | hydrogen-bond 
801 | mitochondrial matrix | protein enzyme | tertiary protein structure | van der waals interaction 
801 | mitochondrial matrix | protein enzyme | tertiary protein structure | hydrophobic interaction 
801 | mitochondrial matrix | protein enzyme | tertiary protein structure | secondary structure 
802 | mitochondrial matrix | ribosome | tertiary protein structure | hydrogen-bond 
802 | mitochondrial matrix | ribosome | tertiary protein structure | van der waals interaction 
802 | mitochondrial matrix | ribosome | tertiary protein structure | hydrophobic interaction 
802 | mitochondrial matrix | ribosome | tertiary protein structure | secondary structure 
812 | first electron-shell | atomic nucleus | membrane | carbon skeleton 
813 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
814 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
819 | second electron-shell | first electron-shell | secondary structure | primary structure 
819 | second electron-shell | first electron-shell | secondary structure | hydrogen-bond 
820 | amyloplast | starch | amyloplast | starch 
830 | membrane | carbon skeleton | amyloplast | starch 
832 | nuclear-envelope | carbon skeleton | capsule | cell wall 
833 | sulfhydryl group | sulfur atom | amyloplast | starch 
834 | sulfhydryl group | hydrogen atom | amyloplast | starch 
835 | first electron-shell | atomic nucleus | cisternal space | aqueous solution 
836 | stroma | ribosome | tertiary protein structure | hydrogen-bond 
836 | stroma | ribosome | tertiary protein structure | van der waals interaction 
836 | stroma | ribosome | tertiary protein structure | hydrophobic interaction 
836 | stroma | ribosome | tertiary protein structure | secondary structure 
837 | stroma | protein enzyme | tertiary protein structure | hydrogen-bond 
837 | stroma | protein enzyme | tertiary protein structure | van der waals interaction 
837 | stroma | protein enzyme | tertiary protein structure | hydrophobic interaction 
837 | stroma | protein enzyme | tertiary protein structure | secondary structure 
838 | stroma | protein enzyme | tertiary protein structure | hydrogen-bond 
838 | stroma | protein enzyme | tertiary protein structure | van der waals interaction 
838 | stroma | protein enzyme | tertiary protein structure | hydrophobic interaction 
838 | stroma | protein enzyme | tertiary protein structure | secondary structure 
839 | stroma | MRNA | tertiary protein structure | hydrogen-bond 
839 | stroma | MRNA | tertiary protein structure | van der waals interaction 
839 | stroma | MRNA | tertiary protein structure | hydrophobic interaction 
839 | stroma | MRNA | tertiary protein structure | secondary structure 
847 | mitochondrial membrane | carbon skeleton | tertiary protein structure | hydrogen-bond 
847 | mitochondrial membrane | carbon skeleton | tertiary protein structure | van der waals interaction 
847 | mitochondrial membrane | carbon skeleton | tertiary protein structure | hydrophobic interaction 
847 | mitochondrial membrane | carbon skeleton | tertiary protein structure | secondary structure 
858 | mitochondrial membrane | carbon skeleton | amyloplast | starch 
859 | second electron-shell | first electron-shell | membrane | carbon skeleton 
863 | stroma | ribosome | first electron-shell | atomic nucleus 
864 | stroma | protein enzyme | first electron-shell | atomic nucleus 
865 | stroma | protein enzyme | first electron-shell | atomic nucleus 
866 | stroma | MRNA | first electron-shell | atomic nucleus 
868 | mitochondrial matrix | aqueous solution | membrane | carbon skeleton 
869 | mitochondrial matrix | protein enzyme | membrane | carbon skeleton 
870 | mitochondrial matrix | ribosome | membrane | carbon skeleton 
871 | hydroxyl group | hydrogen atom | amyloplast | starch 
872 | hydroxyl group | oxygen atom | amyloplast | starch 
875 | orbital | electron | membrane | carbon skeleton 
883 | capsule | cell wall | chloroplast | stroma 
887 | atomic nucleus | proton | chloroplast | stroma 
889 | nucleus | nucleolus | tertiary protein structure | hydrogen-bond 
889 | nucleus | nucleolus | tertiary protein structure | van der waals interaction 
889 | nucleus | nucleolus | tertiary protein structure | hydrophobic interaction 
889 | nucleus | nucleolus | tertiary protein structure | secondary structure 
890 | glyoxysome | protein enzyme | membrane | carbon skeleton 
891 | glyoxysome | protein enzyme | membrane | carbon skeleton 
895 | sulfhydryl group | sulfur atom | membrane | carbon skeleton 
896 | sulfhydryl group | hydrogen atom | membrane | carbon skeleton 
897 | nuclear-envelope | carbon skeleton | thylakoid space | aqueous solution 
897 | nuclear-envelope | carbon skeleton | thylakoid space | aqueous solution 
898 | nucleus | nucleolus | tertiary protein structure | hydrogen-bond 
898 | nucleus | nucleolus | tertiary protein structure | van der waals interaction 
898 | nucleus | nucleolus | tertiary protein structure | hydrophobic interaction 
898 | nucleus | nucleolus | tertiary protein structure | secondary structure 
899 | tertiary protein structure | hydrogen-bond | membrane | carbon skeleton 
900 | tertiary protein structure | van der waals interaction | membrane | carbon skeleton 
901 | tertiary protein structure | hydrophobic interaction | membrane | carbon skeleton 
902 | tertiary protein structure | secondary structure | membrane | carbon skeleton 
903 | chloroplast | stroma | tertiary protein structure | hydrogen-bond 
903 | chloroplast | stroma | tertiary protein structure | van der waals interaction 
903 | chloroplast | stroma | tertiary protein structure | hydrophobic interaction 
903 | chloroplast | stroma | tertiary protein structure | secondary structure 
904 | leaf | oxygen molecule | second electron-shell | first electron-shell 
907 | tertiary protein structure | hydrogen-bond | thylakoid space | aqueous solution 
907 | tertiary protein structure | hydrogen-bond | thylakoid space | aqueous solution 
908 | tertiary protein structure | van der waals interaction | thylakoid space | aqueous solution 
908 | tertiary protein structure | van der waals interaction | thylakoid space | aqueous solution 
909 | tertiary protein structure | hydrophobic interaction | thylakoid space | aqueous solution 
909 | tertiary protein structure | hydrophobic interaction | thylakoid space | aqueous solution 
910 | tertiary protein structure | secondary structure | thylakoid space | aqueous solution 
910 | tertiary protein structure | secondary structure | thylakoid space | aqueous solution 
911 | mitochondrial membrane | carbon skeleton | secondary structure | primary structure 
911 | mitochondrial membrane | carbon skeleton | secondary structure | hydrogen-bond 
928 | orbital | electron | chloroplast | stroma 
931 | sulfhydryl group | sulfur atom | nuclear-envelope | carbon skeleton 
932 | sulfhydryl group | hydrogen atom | nuclear-envelope | carbon skeleton 
933 | first electron-shell | atomic nucleus | membrane | carbon skeleton 
941 | nucleus | nucleolus | membrane | carbon skeleton 
944 | methyl group | hydrogen atom | membrane | carbon skeleton 
954 | tertiary protein structure | hydrogen-bond | thylakoid space | aqueous solution 
954 | tertiary protein structure | hydrogen-bond | thylakoid space | aqueous solution 
955 | tertiary protein structure | van der waals interaction | thylakoid space | aqueous solution 
955 | tertiary protein structure | van der waals interaction | thylakoid space | aqueous solution 
956 | tertiary protein structure | hydrophobic interaction | thylakoid space | aqueous solution 
956 | tertiary protein structure | hydrophobic interaction | thylakoid space | aqueous solution 
957 | tertiary protein structure | secondary structure | thylakoid space | aqueous solution 
957 | tertiary protein structure | secondary structure | thylakoid space | aqueous solution 
