0 | ethyl alcohol | polar covalent bond | pyruvate | kinetic energy 
72 | acidic amino acid | single bond | sucrose | double bond 
73 | tubulin | kinetic energy | alanine | kinetic energy 
73 | tubulin | kinetic energy | alanine | nonpolar covalent bond 
74 | ketone | kinetic energy | glucose | kinetic energy 
74 | ketone | kinetic energy | glucose | double bond 
74 | ketone | kinetic energy | glucose | polar covalent bond 
75 | ketone | double bond | glucose | kinetic energy 
75 | ketone | double bond | glucose | double bond 
75 | ketone | double bond | glucose | polar covalent bond 
76 | hydrocarbon molecule | single bond | GTP | kinetic energy 
76 | hydrocarbon molecule | single bond | GTP | double bond 
76 | hydrocarbon molecule | single bond | GTP | single bond 
77 | hydrocarbon molecule | kinetic energy | GTP | kinetic energy 
77 | hydrocarbon molecule | kinetic energy | GTP | double bond 
77 | hydrocarbon molecule | kinetic energy | GTP | single bond 
78 | microfilament | kinetic energy | carrier protein | kinetic energy 
78 | microfilament | kinetic energy | carrier protein | peptide linkage 
79 | protein | peptide linkage | proton pump | single bond 
79 | protein | peptide linkage | proton pump | double bond 
79 | protein | peptide linkage | proton pump | kinetic energy 
79 | protein | peptide linkage | proton pump | peptide linkage 
80 | aldehyde | kinetic energy | hydroxide ion | polar covalent bond 
81 | beta tubulin | kinetic energy | storage polysaccharide | kinetic energy 
81 | beta tubulin | kinetic energy | storage polysaccharide | polar covalent bond 
81 | beta tubulin | kinetic energy | storage polysaccharide | double bond 
82 | beta tubulin | peptide linkage | storage polysaccharide | kinetic energy 
82 | beta tubulin | peptide linkage | storage polysaccharide | polar covalent bond 
82 | beta tubulin | peptide linkage | storage polysaccharide | double bond 
83 | glycolipid | kinetic energy | hydrophilic amino acid | single bond 
84 | RNA | phosphodiester bond | glycine | nonpolar covalent bond 
84 | RNA | phosphodiester bond | glycine | kinetic energy 
85 | unsaturated fatty acid | kinetic energy | polypeptide | peptide linkage 
86 | ionic compound | ionic attraction | monosaccharide | double bond 
86 | ionic compound | ionic attraction | monosaccharide | polar covalent bond 
87 | ATP synthase | kinetic energy | oligosaccharide | double bond 
87 | ATP synthase | kinetic energy | oligosaccharide | polar covalent bond 
87 | ATP synthase | kinetic energy | oligosaccharide | glycosidic linkage 
88 | ATP synthase | peptide linkage | oligosaccharide | double bond 
88 | ATP synthase | peptide linkage | oligosaccharide | polar covalent bond 
88 | ATP synthase | peptide linkage | oligosaccharide | glycosidic linkage 
89 | pyruvate | kinetic energy | hydrophobic amino acid | nonpolar covalent bond 
90 | methane | single bond | water molecule | polar covalent bond 
90 | methane | single bond | water molecule | polar covalent bond 
91 | ribulose bisphosphate | double bond | chlorophyll B | double bond 
91 | ribulose bisphosphate | double bond | chlorophyll B | kinetic energy 
91 | ribulose bisphosphate | double bond | chlorophyll B | single bond 
92 | ribulose bisphosphate | polar covalent bond | chlorophyll B | double bond 
92 | ribulose bisphosphate | polar covalent bond | chlorophyll B | kinetic energy 
92 | ribulose bisphosphate | polar covalent bond | chlorophyll B | single bond 
93 | alcohol | kinetic energy | P680 | kinetic energy 
93 | alcohol | kinetic energy | P680 | single bond 
94 | alcohol | polar covalent bond | P680 | kinetic energy 
94 | alcohol | polar covalent bond | P680 | single bond 
95 | oligosaccharide | double bond | phosphatidylcholine | ester linkage 
96 | oligosaccharide | polar covalent bond | phosphatidylcholine | ester linkage 
97 | oligosaccharide | glycosidic linkage | phosphatidylcholine | ester linkage 
98 | alpha tubulin | peptide linkage | fatty acid | kinetic energy 
99 | alpha tubulin | kinetic energy | fatty acid | kinetic energy 
100 | protein | peptide linkage | polymer | covalent bond 
102 | water | potential energy | ketone | kinetic energy 
102 | water | potential energy | ketone | double bond 
103 | water | hydrogen-bond | ketone | kinetic energy 
103 | water | hydrogen-bond | ketone | double bond 
104 | atom | kinetic energy | saturated fatty acid | kinetic energy 
104 | atom | kinetic energy | saturated fatty acid | single bond 
105 | aldehyde | kinetic energy | hydrophobic amino acid | nonpolar covalent bond 
106 | GTP | kinetic energy | steroid | kinetic energy 
107 | GTP | double bond | steroid | kinetic energy 
108 | GTP | single bond | steroid | kinetic energy 
109 | beta tubulin | kinetic energy | water | potential energy 
109 | beta tubulin | kinetic energy | water | hydrogen-bond 
110 | beta tubulin | peptide linkage | water | potential energy 
110 | beta tubulin | peptide linkage | water | hydrogen-bond 
111 | hydrogen ion gradient | proton-motive force | P700 | single bond 
112 | polypeptide | peptide linkage | pentose | double bond 
112 | polypeptide | peptide linkage | pentose | polar covalent bond 
113 | gradient | potential energy | nonpolar molecule | covalent bond 
114 | 3 phosphoglycerate | kinetic energy | fat molecule | ester linkage 
114 | 3 phosphoglycerate | kinetic energy | fat molecule | chemical energy 
115 | 3 phosphoglycerate | double bond | fat molecule | ester linkage 
115 | 3 phosphoglycerate | double bond | fat molecule | chemical energy 
116 | 3 phosphoglycerate | single bond | fat molecule | ester linkage 
116 | 3 phosphoglycerate | single bond | fat molecule | chemical energy 
117 | 3 phosphoglycerate | double bond | fat molecule | ester linkage 
117 | 3 phosphoglycerate | double bond | fat molecule | chemical energy 
118 | glucose-6-phosphate | double bond | NADP Plus | kinetic energy 
119 | glucose-6-phosphate | single bond | NADP Plus | kinetic energy 
120 | glucose-6-phosphate | polar covalent bond | NADP Plus | kinetic energy 
121 | glucose-6-phosphate | kinetic energy | NADP Plus | kinetic energy 
123 | polymer | covalent bond | glycoprotein | kinetic energy 
124 | atom | kinetic energy | acidic amino acid | single bond 
125 | carbon dioxide | polar covalent bond | glycine | nonpolar covalent bond 
125 | carbon dioxide | polar covalent bond | glycine | kinetic energy 
126 | carbon dioxide | double bond | glycine | nonpolar covalent bond 
126 | carbon dioxide | double bond | glycine | kinetic energy 
127 | plant cell | turgor pressure | electron | potential energy 
128 | glucose-6-phosphate | double bond | ethyl alcohol | polar covalent bond 
128 | glucose-6-phosphate | double bond | ethyl alcohol | polar covalent bond 
129 | glucose-6-phosphate | single bond | ethyl alcohol | polar covalent bond 
129 | glucose-6-phosphate | single bond | ethyl alcohol | polar covalent bond 
130 | glucose-6-phosphate | polar covalent bond | ethyl alcohol | polar covalent bond 
130 | glucose-6-phosphate | polar covalent bond | ethyl alcohol | polar covalent bond 
131 | glucose-6-phosphate | kinetic energy | ethyl alcohol | polar covalent bond 
131 | glucose-6-phosphate | kinetic energy | ethyl alcohol | polar covalent bond 
132 | cytochrome | kinetic energy | alpha tubulin | peptide linkage 
132 | cytochrome | kinetic energy | alpha tubulin | kinetic energy 
133 | dynein | kinetic energy | PEP carboxylase | kinetic energy 
133 | dynein | kinetic energy | PEP carboxylase | disulfide bond 
134 | NAD plus | covalent bond | atom | kinetic energy 
135 | NAD plus | kinetic energy | atom | kinetic energy 
136 | ice | hydrogen-bond | phosphofructokinase | covalent bond 
136 | ice | hydrogen-bond | phosphofructokinase | kinetic energy 
137 | ice | hydrogen-bond | pyruvate | kinetic energy 
138 | ethyl alcohol | polar covalent bond | NADH | kinetic energy 
139 | ethyl alcohol | polar covalent bond | NADH | kinetic energy 
140 | amphipathic molecule | kinetic energy | chemical bond | chemical energy 
141 | FADH2 | kinetic energy | acetyl CoA | double bond 
141 | FADH2 | kinetic energy | acetyl CoA | ester linkage 
141 | FADH2 | kinetic energy | acetyl CoA | kinetic energy 
142 | carbon dioxide | polar covalent bond | water molecule | polar covalent bond 
142 | carbon dioxide | polar covalent bond | water molecule | polar covalent bond 
143 | carbon dioxide | double bond | water molecule | polar covalent bond 
143 | carbon dioxide | double bond | water molecule | polar covalent bond 
144 | maltose | double bond | hydrophobic amino acid | nonpolar covalent bond 
145 | maltose | kinetic energy | hydrophobic amino acid | nonpolar covalent bond 
146 | maltose | polar covalent bond | hydrophobic amino acid | nonpolar covalent bond 
147 | hydrophilic amino acid | single bond | oxygen molecule | nonpolar covalent bond 
147 | hydrophilic amino acid | single bond | oxygen molecule | double bond 
148 | polysaccharide | double bond | monosaccharide | double bond 
148 | polysaccharide | double bond | monosaccharide | polar covalent bond 
149 | polysaccharide | polar covalent bond | monosaccharide | double bond 
149 | polysaccharide | polar covalent bond | monosaccharide | polar covalent bond 
150 | polysaccharide | kinetic energy | monosaccharide | double bond 
150 | polysaccharide | kinetic energy | monosaccharide | polar covalent bond 
151 | polysaccharide | glycosidic linkage | monosaccharide | double bond 
151 | polysaccharide | glycosidic linkage | monosaccharide | polar covalent bond 
152 | DNA | phosphodiester bond | saturated fatty acid | kinetic energy 
152 | DNA | phosphodiester bond | saturated fatty acid | single bond 
153 | tubulin | kinetic energy | methane | single bond 
154 | tubulin | kinetic energy | glucose-6-phosphate | double bond 
154 | tubulin | kinetic energy | glucose-6-phosphate | single bond 
154 | tubulin | kinetic energy | glucose-6-phosphate | polar covalent bond 
154 | tubulin | kinetic energy | glucose-6-phosphate | kinetic energy 
155 | AMP | single bond | fat molecule | ester linkage 
155 | AMP | single bond | fat molecule | chemical energy 
156 | AMP | double bond | fat molecule | ester linkage 
156 | AMP | double bond | fat molecule | chemical energy 
157 | AMP | kinetic energy | fat molecule | ester linkage 
157 | AMP | kinetic energy | fat molecule | chemical energy 
160 | PEP carboxylase | kinetic energy | phosphatidylcholine | ester linkage 
161 | PEP carboxylase | disulfide bond | phosphatidylcholine | ester linkage 
162 | 3 phosphoglycerate | kinetic energy | disaccharide | double bond 
162 | 3 phosphoglycerate | kinetic energy | disaccharide | polar covalent bond 
162 | 3 phosphoglycerate | kinetic energy | disaccharide | kinetic energy 
162 | 3 phosphoglycerate | kinetic energy | disaccharide | glycosidic linkage 
163 | 3 phosphoglycerate | double bond | disaccharide | double bond 
163 | 3 phosphoglycerate | double bond | disaccharide | polar covalent bond 
163 | 3 phosphoglycerate | double bond | disaccharide | kinetic energy 
163 | 3 phosphoglycerate | double bond | disaccharide | glycosidic linkage 
164 | 3 phosphoglycerate | single bond | disaccharide | double bond 
164 | 3 phosphoglycerate | single bond | disaccharide | polar covalent bond 
164 | 3 phosphoglycerate | single bond | disaccharide | kinetic energy 
164 | 3 phosphoglycerate | single bond | disaccharide | glycosidic linkage 
165 | 3 phosphoglycerate | double bond | disaccharide | double bond 
165 | 3 phosphoglycerate | double bond | disaccharide | polar covalent bond 
165 | 3 phosphoglycerate | double bond | disaccharide | kinetic energy 
165 | 3 phosphoglycerate | double bond | disaccharide | glycosidic linkage 
166 | carbohydrate side chain | polar covalent bond | carbon dioxide | polar covalent bond 
166 | carbohydrate side chain | polar covalent bond | carbon dioxide | double bond 
167 | carbohydrate side chain | double bond | carbon dioxide | polar covalent bond 
167 | carbohydrate side chain | double bond | carbon dioxide | double bond 
168 | carbohydrate side chain | kinetic energy | carbon dioxide | polar covalent bond 
168 | carbohydrate side chain | kinetic energy | carbon dioxide | double bond 
169 | methane | single bond | hexose | polar covalent bond 
169 | methane | single bond | hexose | double bond 
170 | basic amino acid | single bond | sucrose | kinetic energy 
170 | basic amino acid | single bond | sucrose | polar covalent bond 
170 | basic amino acid | single bond | sucrose | double bond 
171 | basic amino acid | kinetic energy | sucrose | kinetic energy 
171 | basic amino acid | kinetic energy | sucrose | polar covalent bond 
171 | basic amino acid | kinetic energy | sucrose | double bond 
172 | PEP carboxylase | kinetic energy | alpha tubulin | peptide linkage 
172 | PEP carboxylase | kinetic energy | alpha tubulin | kinetic energy 
173 | PEP carboxylase | disulfide bond | alpha tubulin | peptide linkage 
173 | PEP carboxylase | disulfide bond | alpha tubulin | kinetic energy 
174 | integrin | kinetic energy | electron | potential energy 
175 | polymer | covalent bond | intermediate filament | kinetic energy 
175 | polymer | covalent bond | intermediate filament | covalent bond 
176 | alanine | kinetic energy | aquaporin | kinetic energy 
177 | alanine | nonpolar covalent bond | aquaporin | kinetic energy 
178 | FADH2 | kinetic energy | hydrophobic amino acid | nonpolar covalent bond 
179 | nucleotide | double bond | NAD plus | covalent bond 
179 | nucleotide | double bond | NAD plus | kinetic energy 
180 | nucleotide | kinetic energy | NAD plus | covalent bond 
180 | nucleotide | kinetic energy | NAD plus | kinetic energy 
181 | AMP | single bond | acetyl CoA | double bond 
181 | AMP | single bond | acetyl CoA | ester linkage 
181 | AMP | single bond | acetyl CoA | kinetic energy 
182 | AMP | double bond | acetyl CoA | double bond 
182 | AMP | double bond | acetyl CoA | ester linkage 
182 | AMP | double bond | acetyl CoA | kinetic energy 
183 | AMP | kinetic energy | acetyl CoA | double bond 
183 | AMP | kinetic energy | acetyl CoA | ester linkage 
183 | AMP | kinetic energy | acetyl CoA | kinetic energy 
184 | gradient | potential energy | polymer | covalent bond 
185 | alcohol | kinetic energy | PEP carboxylase | kinetic energy 
185 | alcohol | kinetic energy | PEP carboxylase | disulfide bond 
186 | alcohol | polar covalent bond | PEP carboxylase | kinetic energy 
186 | alcohol | polar covalent bond | PEP carboxylase | disulfide bond 
187 | carbon dioxide | polar covalent bond | P700 | single bond 
188 | carbon dioxide | double bond | P700 | single bond 
189 | ADP | single bond | asparagine | kinetic energy 
189 | ADP | single bond | asparagine | single bond 
190 | ADP | kinetic energy | asparagine | kinetic energy 
190 | ADP | kinetic energy | asparagine | single bond 
191 | ADP | double bond | asparagine | kinetic energy 
191 | ADP | double bond | asparagine | single bond 
192 | chlorophyll A | kinetic energy | phosphatidylcholine | ester linkage 
193 | chlorophyll A | single bond | phosphatidylcholine | ester linkage 
194 | hydrophobic substance | nonpolar covalent bond | ribulose bisphosphate | double bond 
194 | hydrophobic substance | nonpolar covalent bond | ribulose bisphosphate | polar covalent bond 
195 | polypeptide | peptide linkage | hydrophobic substance | nonpolar covalent bond 
196 | glycoprotein | kinetic energy | fat molecule | ester linkage 
196 | glycoprotein | kinetic energy | fat molecule | chemical energy 
197 | microfibril | kinetic energy | coenzyme A | kinetic energy 
198 | coenzyme A | kinetic energy | plant cell | turgor pressure 
199 | integrin | kinetic energy | water molecule | polar covalent bond 
199 | integrin | kinetic energy | water molecule | polar covalent bond 
200 | phosphatidylcholine | ester linkage | NADPH | kinetic energy 
201 | ATP synthase | kinetic energy | asparagine | kinetic energy 
201 | ATP synthase | kinetic energy | asparagine | single bond 
202 | ATP synthase | peptide linkage | asparagine | kinetic energy 
202 | ATP synthase | peptide linkage | asparagine | single bond 
203 | amylopectin | double bond | amylopectin | double bond 
204 | nucleotide | double bond | aquaporin | kinetic energy 
205 | nucleotide | kinetic energy | aquaporin | kinetic energy 
206 | ketone | kinetic energy | glycogen | polar covalent bond 
206 | ketone | kinetic energy | glycogen | kinetic energy 
207 | ketone | double bond | glycogen | polar covalent bond 
207 | ketone | double bond | glycogen | kinetic energy 
208 | acidic amino acid | single bond | ice | hydrogen-bond 
209 | hydrophobic substance | nonpolar covalent bond | intermediate filament | kinetic energy 
209 | hydrophobic substance | nonpolar covalent bond | intermediate filament | covalent bond 
210 | acetyl CoA | double bond | asparagine | kinetic energy 
210 | acetyl CoA | double bond | asparagine | single bond 
211 | acetyl CoA | ester linkage | asparagine | kinetic energy 
211 | acetyl CoA | ester linkage | asparagine | single bond 
212 | acetyl CoA | kinetic energy | asparagine | kinetic energy 
212 | acetyl CoA | kinetic energy | asparagine | single bond 
213 | maltose | double bond | motor protein | kinetic energy 
214 | maltose | kinetic energy | motor protein | kinetic energy 
215 | maltose | polar covalent bond | motor protein | kinetic energy 
217 | alpha tubulin | peptide linkage | storage polysaccharide | kinetic energy 
217 | alpha tubulin | peptide linkage | storage polysaccharide | polar covalent bond 
217 | alpha tubulin | peptide linkage | storage polysaccharide | double bond 
218 | alpha tubulin | kinetic energy | storage polysaccharide | kinetic energy 
218 | alpha tubulin | kinetic energy | storage polysaccharide | polar covalent bond 
218 | alpha tubulin | kinetic energy | storage polysaccharide | double bond 
219 | FADH2 | kinetic energy | steroid | kinetic energy 
220 | nonpolar molecule | covalent bond | pentose | double bond 
220 | nonpolar molecule | covalent bond | pentose | polar covalent bond 
221 | monosaccharide | double bond | cellulose | double bond 
221 | monosaccharide | double bond | cellulose | polar covalent bond 
221 | monosaccharide | double bond | cellulose | kinetic energy 
222 | monosaccharide | polar covalent bond | cellulose | double bond 
222 | monosaccharide | polar covalent bond | cellulose | polar covalent bond 
222 | monosaccharide | polar covalent bond | cellulose | kinetic energy 
223 | oxygen molecule | nonpolar covalent bond | NADH | kinetic energy 
224 | oxygen molecule | double bond | NADH | kinetic energy 
225 | fat molecule | ester linkage | beta tubulin | kinetic energy 
225 | fat molecule | ester linkage | beta tubulin | peptide linkage 
226 | fat molecule | chemical energy | beta tubulin | kinetic energy 
226 | fat molecule | chemical energy | beta tubulin | peptide linkage 
227 | gradient | potential energy | sodium-potassium pump | kinetic energy 
227 | gradient | potential energy | sodium-potassium pump | double bond 
227 | gradient | potential energy | sodium-potassium pump | single bond 
227 | gradient | potential energy | sodium-potassium pump | peptide linkage 
228 | DNA | phosphodiester bond | carbohydrate side chain | polar covalent bond 
228 | DNA | phosphodiester bond | carbohydrate side chain | double bond 
228 | DNA | phosphodiester bond | carbohydrate side chain | kinetic energy 
229 | hexose | polar covalent bond | polysaccharide | double bond 
229 | hexose | polar covalent bond | polysaccharide | polar covalent bond 
229 | hexose | polar covalent bond | polysaccharide | kinetic energy 
229 | hexose | polar covalent bond | polysaccharide | glycosidic linkage 
230 | hexose | double bond | polysaccharide | double bond 
230 | hexose | double bond | polysaccharide | polar covalent bond 
230 | hexose | double bond | polysaccharide | kinetic energy 
230 | hexose | double bond | polysaccharide | glycosidic linkage 
231 | rubisco | kinetic energy | hydrophobic amino acid | nonpolar covalent bond 
232 | rubisco | disulfide bond | hydrophobic amino acid | nonpolar covalent bond 
233 | oxygen molecule | nonpolar covalent bond | steroid | kinetic energy 
234 | oxygen molecule | double bond | steroid | kinetic energy 
235 | intermediate filament | kinetic energy | RNA | phosphodiester bond 
236 | intermediate filament | covalent bond | RNA | phosphodiester bond 
237 | monosaccharide | double bond | FADH2 | kinetic energy 
238 | monosaccharide | polar covalent bond | FADH2 | kinetic energy 
239 | gated Channel | kinetic energy | hydrophobic substance | nonpolar covalent bond 
240 | gated Channel | peptide linkage | hydrophobic substance | nonpolar covalent bond 
241 | FADH2 | kinetic energy | AMP | single bond 
241 | FADH2 | kinetic energy | AMP | double bond 
241 | FADH2 | kinetic energy | AMP | kinetic energy 
242 | monosaccharide | double bond | asparagine | kinetic energy 
242 | monosaccharide | double bond | asparagine | single bond 
243 | monosaccharide | polar covalent bond | asparagine | kinetic energy 
243 | monosaccharide | polar covalent bond | asparagine | single bond 
244 | hydrophobic substance | nonpolar covalent bond | gradient | potential energy 
245 | water molecule | polar covalent bond | oxygen molecule | nonpolar covalent bond 
245 | water molecule | polar covalent bond | oxygen molecule | double bond 
246 | water molecule | polar covalent bond | oxygen molecule | nonpolar covalent bond 
246 | water molecule | polar covalent bond | oxygen molecule | double bond 
247 | transport membrane protein | kinetic energy | hydrogen ion gradient | proton-motive force 
248 | PEP carboxylase | kinetic energy | coenzyme A | kinetic energy 
249 | PEP carboxylase | disulfide bond | coenzyme A | kinetic energy 
250 | tubulin | kinetic energy | ethyl alcohol | polar covalent bond 
250 | tubulin | kinetic energy | ethyl alcohol | polar covalent bond 
251 | glycoprotein | kinetic energy | disaccharide | double bond 
251 | glycoprotein | kinetic energy | disaccharide | polar covalent bond 
251 | glycoprotein | kinetic energy | disaccharide | kinetic energy 
251 | glycoprotein | kinetic energy | disaccharide | glycosidic linkage 
252 | ATP synthase | kinetic energy | NADP Plus | kinetic energy 
253 | ATP synthase | peptide linkage | NADP Plus | kinetic energy 
254 | plastoquinone | kinetic energy | aspartic acid | single bond 
254 | plastoquinone | kinetic energy | aspartic acid | kinetic energy 
255 | lactic acid | kinetic energy | glycoprotein | kinetic energy 
256 | plant cell | turgor pressure | integrin | kinetic energy 
257 | acetyl CoA | double bond | electron | potential energy 
258 | acetyl CoA | ester linkage | electron | potential energy 
259 | acetyl CoA | kinetic energy | electron | potential energy 
260 | polysaccharide | double bond | alcohol | kinetic energy 
260 | polysaccharide | double bond | alcohol | polar covalent bond 
261 | polysaccharide | polar covalent bond | alcohol | kinetic energy 
261 | polysaccharide | polar covalent bond | alcohol | polar covalent bond 
262 | polysaccharide | kinetic energy | alcohol | kinetic energy 
262 | polysaccharide | kinetic energy | alcohol | polar covalent bond 
263 | polysaccharide | glycosidic linkage | alcohol | kinetic energy 
263 | polysaccharide | glycosidic linkage | alcohol | polar covalent bond 
264 | glycoprotein | kinetic energy | NAD plus | covalent bond 
264 | glycoprotein | kinetic energy | NAD plus | kinetic energy 
265 | nonpolar molecule | covalent bond | fat molecule | ester linkage 
265 | nonpolar molecule | covalent bond | fat molecule | chemical energy 
266 | nonpolar molecule | covalent bond | carotenoid | chemical bond 
267 | electron | potential energy | steroid | kinetic energy 
268 | PGAP | double bond | amino acid | kinetic energy 
269 | PGAP | single bond | amino acid | kinetic energy 
