0 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
40 | endomembranous system | lysosome | phosphodiester bond | ester linkage 
40 | endomembranous system | lysosome | phosphodiester bond | ester linkage 
41 | endomembranous system | Golgi apparatus | phosphodiester bond | ester linkage 
41 | endomembranous system | Golgi apparatus | phosphodiester bond | ester linkage 
42 | endomembranous system | smooth endoplasmic reticulum | phosphodiester bond | ester linkage 
42 | endomembranous system | smooth endoplasmic reticulum | phosphodiester bond | ester linkage 
43 | endomembranous system | vacuole | phosphodiester bond | ester linkage 
43 | endomembranous system | vacuole | phosphodiester bond | ester linkage 
63 | ecosystem | algae | photosystem II | light-harvesting complex 
63 | ecosystem | algae | photosystem II | reaction-center complex 
64 | ecosystem | water | photosystem II | light-harvesting complex 
64 | ecosystem | water | photosystem II | reaction-center complex 
65 | ecosystem | light | photosystem II | light-harvesting complex 
65 | ecosystem | light | photosystem II | reaction-center complex 
66 | ecosystem | chemical element | photosystem II | light-harvesting complex 
66 | ecosystem | chemical element | photosystem II | reaction-center complex 
71 | phosphodiester bond | ester linkage | microfibril | cellulose 
71 | phosphodiester bond | ester linkage | microfibril | cellulose 
72 | phosphodiester bond | ester linkage | microfibril | cellulose 
72 | phosphodiester bond | ester linkage | microfibril | cellulose 
82 | chaperonin | protein | amino acid sequence | amino acid 
82 | chaperonin | protein | amino acid sequence | amino acid 
83 | chaperonin | protein | amino acid sequence | amino acid 
83 | chaperonin | protein | amino acid sequence | amino acid 
84 | amino acid sequence | amino acid | granum | thylakoid 
84 | amino acid sequence | amino acid | granum | thylakoid 
84 | amino acid sequence | amino acid | granum | thylakoid 
85 | amino acid sequence | amino acid | granum | thylakoid 
85 | amino acid sequence | amino acid | granum | thylakoid 
85 | amino acid sequence | amino acid | granum | thylakoid 
90 | light-harvesting complex | protein | photosystem | light-harvesting complex 
90 | light-harvesting complex | protein | photosystem | reaction-center complex 
91 | light-harvesting complex | protein | photosystem | light-harvesting complex 
91 | light-harvesting complex | protein | photosystem | reaction-center complex 
92 | light-harvesting complex | protein | photosystem | light-harvesting complex 
92 | light-harvesting complex | protein | photosystem | reaction-center complex 
93 | light-harvesting complex | chlorophyll B | photosystem | light-harvesting complex 
93 | light-harvesting complex | chlorophyll B | photosystem | reaction-center complex 
94 | light-harvesting complex | chlorophyll A | photosystem | light-harvesting complex 
94 | light-harvesting complex | chlorophyll A | photosystem | reaction-center complex 
95 | light-harvesting complex | carotenoid | photosystem | light-harvesting complex 
95 | light-harvesting complex | carotenoid | photosystem | reaction-center complex 
96 | cytochrome complex | cytochrome | photosystem | light-harvesting complex 
96 | cytochrome complex | cytochrome | photosystem | reaction-center complex 
97 | cytochrome complex | cytochrome | photosystem | light-harvesting complex 
97 | cytochrome complex | cytochrome | photosystem | reaction-center complex 
102 | microfibril | cellulose | thylakoid electron transport chain | plastoquinone 
102 | microfibril | cellulose | thylakoid electron transport chain | plastocyanin 
102 | microfibril | cellulose | thylakoid electron transport chain | cytochrome complex 
102 | microfibril | cellulose | thylakoid electron transport chain | ferredoxin 
103 | microfibril | cellulose | thylakoid electron transport chain | plastoquinone 
103 | microfibril | cellulose | thylakoid electron transport chain | plastocyanin 
103 | microfibril | cellulose | thylakoid electron transport chain | cytochrome complex 
103 | microfibril | cellulose | thylakoid electron transport chain | ferredoxin 
109 | chaperonin | protein | glycosidic linkage | polar covalent bond 
109 | chaperonin | protein | glycosidic linkage | polar covalent bond 
110 | chaperonin | protein | glycosidic linkage | polar covalent bond 
110 | chaperonin | protein | glycosidic linkage | polar covalent bond 
111 | photosystem | light-harvesting complex | photosystem I | light-harvesting complex 
111 | photosystem | light-harvesting complex | photosystem I | reaction-center complex 
111 | photosystem | light-harvesting complex | photosystem I | reaction-center complex 
111 | photosystem | light-harvesting complex | photosystem I | light-harvesting complex 
112 | photosystem | reaction-center complex | photosystem I | light-harvesting complex 
112 | photosystem | reaction-center complex | photosystem I | reaction-center complex 
112 | photosystem | reaction-center complex | photosystem I | reaction-center complex 
112 | photosystem | reaction-center complex | photosystem I | light-harvesting complex 
113 | photosystem | light-harvesting complex | granum | thylakoid 
113 | photosystem | light-harvesting complex | granum | thylakoid 
113 | photosystem | light-harvesting complex | granum | thylakoid 
114 | photosystem | reaction-center complex | granum | thylakoid 
114 | photosystem | reaction-center complex | granum | thylakoid 
114 | photosystem | reaction-center complex | granum | thylakoid 
121 | phosphodiester bond | ester linkage | thylakoid electron transport chain | plastoquinone 
121 | phosphodiester bond | ester linkage | thylakoid electron transport chain | plastocyanin 
121 | phosphodiester bond | ester linkage | thylakoid electron transport chain | cytochrome complex 
121 | phosphodiester bond | ester linkage | thylakoid electron transport chain | ferredoxin 
122 | phosphodiester bond | ester linkage | thylakoid electron transport chain | plastoquinone 
122 | phosphodiester bond | ester linkage | thylakoid electron transport chain | plastocyanin 
122 | phosphodiester bond | ester linkage | thylakoid electron transport chain | cytochrome complex 
122 | phosphodiester bond | ester linkage | thylakoid electron transport chain | ferredoxin 
123 | photosystem II | light-harvesting complex | photosystem | light-harvesting complex 
123 | photosystem II | light-harvesting complex | photosystem | reaction-center complex 
124 | photosystem II | reaction-center complex | photosystem | light-harvesting complex 
124 | photosystem II | reaction-center complex | photosystem | reaction-center complex 
125 | photosystem II | light-harvesting complex | thylakoid electron transport chain | plastoquinone 
125 | photosystem II | light-harvesting complex | thylakoid electron transport chain | plastocyanin 
125 | photosystem II | light-harvesting complex | thylakoid electron transport chain | cytochrome complex 
125 | photosystem II | light-harvesting complex | thylakoid electron transport chain | ferredoxin 
126 | photosystem II | reaction-center complex | thylakoid electron transport chain | plastoquinone 
126 | photosystem II | reaction-center complex | thylakoid electron transport chain | plastocyanin 
126 | photosystem II | reaction-center complex | thylakoid electron transport chain | cytochrome complex 
126 | photosystem II | reaction-center complex | thylakoid electron transport chain | ferredoxin 
127 | photosystem II | light-harvesting complex | cytochrome complex | cytochrome 
127 | photosystem II | light-harvesting complex | cytochrome complex | cytochrome 
128 | photosystem II | reaction-center complex | cytochrome complex | cytochrome 
128 | photosystem II | reaction-center complex | cytochrome complex | cytochrome 
129 | electromagnetic spectrum | ultraviolet ray | photosystem II | light-harvesting complex 
129 | electromagnetic spectrum | ultraviolet ray | photosystem II | reaction-center complex 
130 | electromagnetic spectrum | visible light | photosystem II | light-harvesting complex 
130 | electromagnetic spectrum | visible light | photosystem II | reaction-center complex 
131 | electromagnetic spectrum | infrared ray | photosystem II | light-harvesting complex 
131 | electromagnetic spectrum | infrared ray | photosystem II | reaction-center complex 
132 | electromagnetic spectrum | radio wave | photosystem II | light-harvesting complex 
132 | electromagnetic spectrum | radio wave | photosystem II | reaction-center complex 
133 | microfibril | cellulose | thylakoid electron transport chain | plastoquinone 
133 | microfibril | cellulose | thylakoid electron transport chain | plastocyanin 
133 | microfibril | cellulose | thylakoid electron transport chain | cytochrome complex 
133 | microfibril | cellulose | thylakoid electron transport chain | ferredoxin 
134 | microfibril | cellulose | thylakoid electron transport chain | plastoquinone 
134 | microfibril | cellulose | thylakoid electron transport chain | plastocyanin 
134 | microfibril | cellulose | thylakoid electron transport chain | cytochrome complex 
134 | microfibril | cellulose | thylakoid electron transport chain | ferredoxin 
139 | glycosidic linkage | polar covalent bond | glycosidic linkage | polar covalent bond 
139 | glycosidic linkage | polar covalent bond | glycosidic linkage | polar covalent bond 
140 | glycosidic linkage | polar covalent bond | glycosidic linkage | polar covalent bond 
140 | glycosidic linkage | polar covalent bond | glycosidic linkage | polar covalent bond 
160 | phosphodiester bond | ester linkage | photosystem | light-harvesting complex 
160 | phosphodiester bond | ester linkage | photosystem | reaction-center complex 
161 | phosphodiester bond | ester linkage | photosystem | light-harvesting complex 
161 | phosphodiester bond | ester linkage | photosystem | reaction-center complex 
162 | endomembranous system | rough endoplasmic reticulum | amino acid sequence | amino acid 
162 | endomembranous system | rough endoplasmic reticulum | amino acid sequence | amino acid 
163 | endomembranous system | vesicle | amino acid sequence | amino acid 
163 | endomembranous system | vesicle | amino acid sequence | amino acid 
164 | endomembranous system | nuclear-envelope | amino acid sequence | amino acid 
164 | endomembranous system | nuclear-envelope | amino acid sequence | amino acid 
165 | endomembranous system | lysosome | amino acid sequence | amino acid 
165 | endomembranous system | lysosome | amino acid sequence | amino acid 
166 | endomembranous system | Golgi apparatus | amino acid sequence | amino acid 
166 | endomembranous system | Golgi apparatus | amino acid sequence | amino acid 
167 | endomembranous system | smooth endoplasmic reticulum | amino acid sequence | amino acid 
167 | endomembranous system | smooth endoplasmic reticulum | amino acid sequence | amino acid 
168 | endomembranous system | vacuole | amino acid sequence | amino acid 
168 | endomembranous system | vacuole | amino acid sequence | amino acid 
176 | photosystem I | light-harvesting complex | photosystem | light-harvesting complex 
176 | photosystem I | light-harvesting complex | photosystem | reaction-center complex 
177 | photosystem I | reaction-center complex | photosystem | light-harvesting complex 
177 | photosystem I | reaction-center complex | photosystem | reaction-center complex 
178 | photosystem I | reaction-center complex | photosystem | light-harvesting complex 
178 | photosystem I | reaction-center complex | photosystem | reaction-center complex 
179 | photosystem I | light-harvesting complex | photosystem | light-harvesting complex 
179 | photosystem I | light-harvesting complex | photosystem | reaction-center complex 
180 | light-harvesting complex | protein | phosphodiester bond | ester linkage 
180 | light-harvesting complex | protein | phosphodiester bond | ester linkage 
181 | light-harvesting complex | protein | phosphodiester bond | ester linkage 
181 | light-harvesting complex | protein | phosphodiester bond | ester linkage 
182 | light-harvesting complex | protein | phosphodiester bond | ester linkage 
182 | light-harvesting complex | protein | phosphodiester bond | ester linkage 
183 | light-harvesting complex | chlorophyll B | phosphodiester bond | ester linkage 
183 | light-harvesting complex | chlorophyll B | phosphodiester bond | ester linkage 
184 | light-harvesting complex | chlorophyll A | phosphodiester bond | ester linkage 
184 | light-harvesting complex | chlorophyll A | phosphodiester bond | ester linkage 
185 | light-harvesting complex | carotenoid | phosphodiester bond | ester linkage 
185 | light-harvesting complex | carotenoid | phosphodiester bond | ester linkage 
186 | photosystem | light-harvesting complex | granum | thylakoid 
186 | photosystem | light-harvesting complex | granum | thylakoid 
186 | photosystem | light-harvesting complex | granum | thylakoid 
187 | photosystem | reaction-center complex | granum | thylakoid 
187 | photosystem | reaction-center complex | granum | thylakoid 
187 | photosystem | reaction-center complex | granum | thylakoid 
193 | enzyme-substrate complex | enzyme | granum | thylakoid 
193 | enzyme-substrate complex | enzyme | granum | thylakoid 
193 | enzyme-substrate complex | enzyme | granum | thylakoid 
208 | multiprotein complex IV | proton pump | microfibril | cellulose 
208 | multiprotein complex IV | proton pump | microfibril | cellulose 
209 | multiprotein complex IV | cytochrome A3 | microfibril | cellulose 
209 | multiprotein complex IV | cytochrome A3 | microfibril | cellulose 
210 | endomembranous system | rough endoplasmic reticulum | photosystem II | light-harvesting complex 
210 | endomembranous system | rough endoplasmic reticulum | photosystem II | reaction-center complex 
211 | endomembranous system | vesicle | photosystem II | light-harvesting complex 
211 | endomembranous system | vesicle | photosystem II | reaction-center complex 
212 | endomembranous system | nuclear-envelope | photosystem II | light-harvesting complex 
212 | endomembranous system | nuclear-envelope | photosystem II | reaction-center complex 
213 | endomembranous system | lysosome | photosystem II | light-harvesting complex 
213 | endomembranous system | lysosome | photosystem II | reaction-center complex 
214 | endomembranous system | Golgi apparatus | photosystem II | light-harvesting complex 
214 | endomembranous system | Golgi apparatus | photosystem II | reaction-center complex 
215 | endomembranous system | smooth endoplasmic reticulum | photosystem II | light-harvesting complex 
215 | endomembranous system | smooth endoplasmic reticulum | photosystem II | reaction-center complex 
216 | endomembranous system | vacuole | photosystem II | light-harvesting complex 
216 | endomembranous system | vacuole | photosystem II | reaction-center complex 
221 | microfibril | cellulose | granum | thylakoid 
221 | microfibril | cellulose | granum | thylakoid 
221 | microfibril | cellulose | granum | thylakoid 
222 | microfibril | cellulose | granum | thylakoid 
222 | microfibril | cellulose | granum | thylakoid 
222 | microfibril | cellulose | granum | thylakoid 
230 | photosystem II | light-harvesting complex | photosystem I | light-harvesting complex 
230 | photosystem II | light-harvesting complex | photosystem I | reaction-center complex 
230 | photosystem II | light-harvesting complex | photosystem I | reaction-center complex 
230 | photosystem II | light-harvesting complex | photosystem I | light-harvesting complex 
231 | photosystem II | reaction-center complex | photosystem I | light-harvesting complex 
231 | photosystem II | reaction-center complex | photosystem I | reaction-center complex 
231 | photosystem II | reaction-center complex | photosystem I | reaction-center complex 
231 | photosystem II | reaction-center complex | photosystem I | light-harvesting complex 
240 | mitochondrial electron transport chain | multiprotein complex-I | phosphodiester bond | ester linkage 
240 | mitochondrial electron transport chain | multiprotein complex-I | phosphodiester bond | ester linkage 
241 | mitochondrial electron transport chain | multiprotein complex-II | phosphodiester bond | ester linkage 
241 | mitochondrial electron transport chain | multiprotein complex-II | phosphodiester bond | ester linkage 
242 | mitochondrial electron transport chain | multiprotein complex-III | phosphodiester bond | ester linkage 
242 | mitochondrial electron transport chain | multiprotein complex-III | phosphodiester bond | ester linkage 
243 | mitochondrial electron transport chain | multiprotein complex IV | phosphodiester bond | ester linkage 
243 | mitochondrial electron transport chain | multiprotein complex IV | phosphodiester bond | ester linkage 
244 | mitochondrial electron transport chain | ubiquinone | phosphodiester bond | ester linkage 
244 | mitochondrial electron transport chain | ubiquinone | phosphodiester bond | ester linkage 
245 | protein complex | protein | phosphodiester bond | ester linkage 
245 | protein complex | protein | phosphodiester bond | ester linkage 
250 | thylakoid electron transport chain | plastoquinone | phosphodiester bond | ester linkage 
250 | thylakoid electron transport chain | plastoquinone | phosphodiester bond | ester linkage 
251 | thylakoid electron transport chain | plastocyanin | phosphodiester bond | ester linkage 
251 | thylakoid electron transport chain | plastocyanin | phosphodiester bond | ester linkage 
252 | thylakoid electron transport chain | cytochrome complex | phosphodiester bond | ester linkage 
252 | thylakoid electron transport chain | cytochrome complex | phosphodiester bond | ester linkage 
253 | thylakoid electron transport chain | ferredoxin | phosphodiester bond | ester linkage 
253 | thylakoid electron transport chain | ferredoxin | phosphodiester bond | ester linkage 
263 | phosphodiester bond | ester linkage | granum | thylakoid 
263 | phosphodiester bond | ester linkage | granum | thylakoid 
263 | phosphodiester bond | ester linkage | granum | thylakoid 
264 | phosphodiester bond | ester linkage | granum | thylakoid 
264 | phosphodiester bond | ester linkage | granum | thylakoid 
264 | phosphodiester bond | ester linkage | granum | thylakoid 
265 | visible light | green light | amino acid sequence | amino acid 
265 | visible light | green light | amino acid sequence | amino acid 
266 | visible light | photon | amino acid sequence | amino acid 
266 | visible light | photon | amino acid sequence | amino acid 
279 | endomembranous system | rough endoplasmic reticulum | cytochrome complex | cytochrome 
279 | endomembranous system | rough endoplasmic reticulum | cytochrome complex | cytochrome 
280 | endomembranous system | vesicle | cytochrome complex | cytochrome 
280 | endomembranous system | vesicle | cytochrome complex | cytochrome 
281 | endomembranous system | nuclear-envelope | cytochrome complex | cytochrome 
281 | endomembranous system | nuclear-envelope | cytochrome complex | cytochrome 
282 | endomembranous system | lysosome | cytochrome complex | cytochrome 
282 | endomembranous system | lysosome | cytochrome complex | cytochrome 
283 | endomembranous system | Golgi apparatus | cytochrome complex | cytochrome 
283 | endomembranous system | Golgi apparatus | cytochrome complex | cytochrome 
284 | endomembranous system | smooth endoplasmic reticulum | cytochrome complex | cytochrome 
284 | endomembranous system | smooth endoplasmic reticulum | cytochrome complex | cytochrome 
285 | endomembranous system | vacuole | cytochrome complex | cytochrome 
285 | endomembranous system | vacuole | cytochrome complex | cytochrome 
286 | thylakoid electron transport chain | plastoquinone | thylakoid electron transport chain | plastoquinone 
286 | thylakoid electron transport chain | plastoquinone | thylakoid electron transport chain | plastocyanin 
286 | thylakoid electron transport chain | plastoquinone | thylakoid electron transport chain | cytochrome complex 
286 | thylakoid electron transport chain | plastoquinone | thylakoid electron transport chain | ferredoxin 
287 | thylakoid electron transport chain | plastocyanin | thylakoid electron transport chain | plastoquinone 
287 | thylakoid electron transport chain | plastocyanin | thylakoid electron transport chain | plastocyanin 
287 | thylakoid electron transport chain | plastocyanin | thylakoid electron transport chain | cytochrome complex 
287 | thylakoid electron transport chain | plastocyanin | thylakoid electron transport chain | ferredoxin 
288 | thylakoid electron transport chain | cytochrome complex | thylakoid electron transport chain | plastoquinone 
288 | thylakoid electron transport chain | cytochrome complex | thylakoid electron transport chain | plastocyanin 
288 | thylakoid electron transport chain | cytochrome complex | thylakoid electron transport chain | cytochrome complex 
288 | thylakoid electron transport chain | cytochrome complex | thylakoid electron transport chain | ferredoxin 
289 | thylakoid electron transport chain | ferredoxin | thylakoid electron transport chain | plastoquinone 
289 | thylakoid electron transport chain | ferredoxin | thylakoid electron transport chain | plastocyanin 
289 | thylakoid electron transport chain | ferredoxin | thylakoid electron transport chain | cytochrome complex 
289 | thylakoid electron transport chain | ferredoxin | thylakoid electron transport chain | ferredoxin 
290 | thylakoid electron transport chain | plastoquinone | glycosidic linkage | polar covalent bond 
290 | thylakoid electron transport chain | plastoquinone | glycosidic linkage | polar covalent bond 
291 | thylakoid electron transport chain | plastocyanin | glycosidic linkage | polar covalent bond 
291 | thylakoid electron transport chain | plastocyanin | glycosidic linkage | polar covalent bond 
292 | thylakoid electron transport chain | cytochrome complex | glycosidic linkage | polar covalent bond 
292 | thylakoid electron transport chain | cytochrome complex | glycosidic linkage | polar covalent bond 
293 | thylakoid electron transport chain | ferredoxin | glycosidic linkage | polar covalent bond 
293 | thylakoid electron transport chain | ferredoxin | glycosidic linkage | polar covalent bond 
296 | amino acid sequence | amino acid | photosystem | light-harvesting complex 
296 | amino acid sequence | amino acid | photosystem | reaction-center complex 
297 | amino acid sequence | amino acid | photosystem | light-harvesting complex 
297 | amino acid sequence | amino acid | photosystem | reaction-center complex 
298 | cytochrome complex | cytochrome | glycosidic linkage | polar covalent bond 
298 | cytochrome complex | cytochrome | glycosidic linkage | polar covalent bond 
299 | cytochrome complex | cytochrome | glycosidic linkage | polar covalent bond 
299 | cytochrome complex | cytochrome | glycosidic linkage | polar covalent bond 
302 | mitochondrial electron transport chain | multiprotein complex-I | phosphodiester bond | ester linkage 
302 | mitochondrial electron transport chain | multiprotein complex-I | phosphodiester bond | ester linkage 
303 | mitochondrial electron transport chain | multiprotein complex-II | phosphodiester bond | ester linkage 
303 | mitochondrial electron transport chain | multiprotein complex-II | phosphodiester bond | ester linkage 
304 | mitochondrial electron transport chain | multiprotein complex-III | phosphodiester bond | ester linkage 
304 | mitochondrial electron transport chain | multiprotein complex-III | phosphodiester bond | ester linkage 
305 | mitochondrial electron transport chain | multiprotein complex IV | phosphodiester bond | ester linkage 
305 | mitochondrial electron transport chain | multiprotein complex IV | phosphodiester bond | ester linkage 
306 | mitochondrial electron transport chain | ubiquinone | phosphodiester bond | ester linkage 
306 | mitochondrial electron transport chain | ubiquinone | phosphodiester bond | ester linkage 
320 | microfibril | cellulose | cytochrome complex | cytochrome 
320 | microfibril | cellulose | cytochrome complex | cytochrome 
321 | microfibril | cellulose | cytochrome complex | cytochrome 
321 | microfibril | cellulose | cytochrome complex | cytochrome 
322 | microfibril | cellulose | photosystem II | light-harvesting complex 
322 | microfibril | cellulose | photosystem II | reaction-center complex 
323 | microfibril | cellulose | photosystem II | light-harvesting complex 
323 | microfibril | cellulose | photosystem II | reaction-center complex 
324 | granum | thylakoid | photosystem I | light-harvesting complex 
324 | granum | thylakoid | photosystem I | reaction-center complex 
324 | granum | thylakoid | photosystem I | reaction-center complex 
324 | granum | thylakoid | photosystem I | light-harvesting complex 
325 | granum | thylakoid | photosystem I | light-harvesting complex 
325 | granum | thylakoid | photosystem I | reaction-center complex 
325 | granum | thylakoid | photosystem I | reaction-center complex 
325 | granum | thylakoid | photosystem I | light-harvesting complex 
326 | granum | thylakoid | photosystem I | light-harvesting complex 
326 | granum | thylakoid | photosystem I | reaction-center complex 
326 | granum | thylakoid | photosystem I | reaction-center complex 
326 | granum | thylakoid | photosystem I | light-harvesting complex 
327 | electromagnetic spectrum | ultraviolet ray | photosystem I | light-harvesting complex 
327 | electromagnetic spectrum | ultraviolet ray | photosystem I | reaction-center complex 
327 | electromagnetic spectrum | ultraviolet ray | photosystem I | reaction-center complex 
327 | electromagnetic spectrum | ultraviolet ray | photosystem I | light-harvesting complex 
328 | electromagnetic spectrum | visible light | photosystem I | light-harvesting complex 
328 | electromagnetic spectrum | visible light | photosystem I | reaction-center complex 
328 | electromagnetic spectrum | visible light | photosystem I | reaction-center complex 
328 | electromagnetic spectrum | visible light | photosystem I | light-harvesting complex 
329 | electromagnetic spectrum | infrared ray | photosystem I | light-harvesting complex 
329 | electromagnetic spectrum | infrared ray | photosystem I | reaction-center complex 
329 | electromagnetic spectrum | infrared ray | photosystem I | reaction-center complex 
329 | electromagnetic spectrum | infrared ray | photosystem I | light-harvesting complex 
330 | electromagnetic spectrum | radio wave | photosystem I | light-harvesting complex 
330 | electromagnetic spectrum | radio wave | photosystem I | reaction-center complex 
330 | electromagnetic spectrum | radio wave | photosystem I | reaction-center complex 
330 | electromagnetic spectrum | radio wave | photosystem I | light-harvesting complex 
331 | microfibril | cellulose | photosystem II | light-harvesting complex 
331 | microfibril | cellulose | photosystem II | reaction-center complex 
332 | microfibril | cellulose | photosystem II | light-harvesting complex 
332 | microfibril | cellulose | photosystem II | reaction-center complex 
346 | cytochrome complex | cytochrome | cytochrome complex | cytochrome 
346 | cytochrome complex | cytochrome | cytochrome complex | cytochrome 
347 | cytochrome complex | cytochrome | cytochrome complex | cytochrome 
347 | cytochrome complex | cytochrome | cytochrome complex | cytochrome 
348 | photosystem II | light-harvesting complex | phosphodiester bond | ester linkage 
348 | photosystem II | light-harvesting complex | phosphodiester bond | ester linkage 
349 | photosystem II | reaction-center complex | phosphodiester bond | ester linkage 
349 | photosystem II | reaction-center complex | phosphodiester bond | ester linkage 
350 | electromagnetic spectrum | ultraviolet ray | photosystem I | light-harvesting complex 
350 | electromagnetic spectrum | ultraviolet ray | photosystem I | reaction-center complex 
350 | electromagnetic spectrum | ultraviolet ray | photosystem I | reaction-center complex 
350 | electromagnetic spectrum | ultraviolet ray | photosystem I | light-harvesting complex 
351 | electromagnetic spectrum | visible light | photosystem I | light-harvesting complex 
351 | electromagnetic spectrum | visible light | photosystem I | reaction-center complex 
351 | electromagnetic spectrum | visible light | photosystem I | reaction-center complex 
351 | electromagnetic spectrum | visible light | photosystem I | light-harvesting complex 
352 | electromagnetic spectrum | infrared ray | photosystem I | light-harvesting complex 
352 | electromagnetic spectrum | infrared ray | photosystem I | reaction-center complex 
352 | electromagnetic spectrum | infrared ray | photosystem I | reaction-center complex 
352 | electromagnetic spectrum | infrared ray | photosystem I | light-harvesting complex 
353 | electromagnetic spectrum | radio wave | photosystem I | light-harvesting complex 
353 | electromagnetic spectrum | radio wave | photosystem I | reaction-center complex 
353 | electromagnetic spectrum | radio wave | photosystem I | reaction-center complex 
353 | electromagnetic spectrum | radio wave | photosystem I | light-harvesting complex 
371 | glycosidic linkage | polar covalent bond | cytochrome complex | cytochrome 
371 | glycosidic linkage | polar covalent bond | cytochrome complex | cytochrome 
372 | glycosidic linkage | polar covalent bond | cytochrome complex | cytochrome 
372 | glycosidic linkage | polar covalent bond | cytochrome complex | cytochrome 
401 | photosystem | light-harvesting complex | photosystem II | light-harvesting complex 
401 | photosystem | light-harvesting complex | photosystem II | reaction-center complex 
402 | photosystem | reaction-center complex | photosystem II | light-harvesting complex 
402 | photosystem | reaction-center complex | photosystem II | reaction-center complex 
410 | protein complex | protein | microfibril | cellulose 
410 | protein complex | protein | microfibril | cellulose 
411 | microfibril | cellulose | glycosidic linkage | polar covalent bond 
411 | microfibril | cellulose | glycosidic linkage | polar covalent bond 
412 | microfibril | cellulose | glycosidic linkage | polar covalent bond 
412 | microfibril | cellulose | glycosidic linkage | polar covalent bond 
413 | protein complex | protein | photosystem | light-harvesting complex 
413 | protein complex | protein | photosystem | reaction-center complex 
414 | enzyme-substrate complex | enzyme | photosystem I | light-harvesting complex 
414 | enzyme-substrate complex | enzyme | photosystem I | reaction-center complex 
414 | enzyme-substrate complex | enzyme | photosystem I | reaction-center complex 
414 | enzyme-substrate complex | enzyme | photosystem I | light-harvesting complex 
417 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
417 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
418 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
418 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
424 | thylakoid electron transport chain | plastoquinone | phosphodiester bond | ester linkage 
424 | thylakoid electron transport chain | plastoquinone | phosphodiester bond | ester linkage 
425 | thylakoid electron transport chain | plastocyanin | phosphodiester bond | ester linkage 
425 | thylakoid electron transport chain | plastocyanin | phosphodiester bond | ester linkage 
426 | thylakoid electron transport chain | cytochrome complex | phosphodiester bond | ester linkage 
426 | thylakoid electron transport chain | cytochrome complex | phosphodiester bond | ester linkage 
427 | thylakoid electron transport chain | ferredoxin | phosphodiester bond | ester linkage 
427 | thylakoid electron transport chain | ferredoxin | phosphodiester bond | ester linkage 
428 | granum | thylakoid | glycosidic linkage | polar covalent bond 
428 | granum | thylakoid | glycosidic linkage | polar covalent bond 
429 | granum | thylakoid | glycosidic linkage | polar covalent bond 
429 | granum | thylakoid | glycosidic linkage | polar covalent bond 
430 | granum | thylakoid | glycosidic linkage | polar covalent bond 
430 | granum | thylakoid | glycosidic linkage | polar covalent bond 
433 | photosystem II | light-harvesting complex | photosystem | light-harvesting complex 
433 | photosystem II | light-harvesting complex | photosystem | reaction-center complex 
434 | photosystem II | reaction-center complex | photosystem | light-harvesting complex 
434 | photosystem II | reaction-center complex | photosystem | reaction-center complex 
