0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
98 | stroma | chloroplast | desmosome | phospholipid bilayer 
99 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
100 | hydration shell | water | ATP synthase | phospholipid bilayer 
101 | aquaporin | phospholipid bilayer | gated Channel | phospholipid bilayer 
102 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
103 | sodium-potassium pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
104 | hydration shell | water | aquaporin | phospholipid bilayer 
105 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
106 | carrier protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
107 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
108 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
109 | stroma | chloroplast | microfibril | transport vesicle 
110 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
111 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
112 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
113 | integrin | phospholipid bilayer | stroma | chloroplast 
114 | tight junction | phospholipid bilayer | desmosome | phospholipid bilayer 
115 | tight junction | phospholipid bilayer | stroma | chloroplast 
116 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
117 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
118 | integral protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
119 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
120 | tight junction | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
121 | hydration shell | water | ATP synthase | phospholipid bilayer 
122 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
123 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
124 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
125 | ATP synthase | phospholipid bilayer | gated Channel | phospholipid bilayer 
126 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
127 | aquaporin | phospholipid bilayer | stroma | chloroplast 
128 | carrier protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
129 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
130 | integral protein | phospholipid bilayer | hydration shell | water 
131 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
132 | desmosome | phospholipid bilayer | aquaporin | phospholipid bilayer 
133 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
134 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
135 | carrier protein | phospholipid bilayer | stroma | chloroplast 
136 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
137 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
138 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
139 | integrin | phospholipid bilayer | integral protein | phospholipid bilayer 
140 | sodium-potassium pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
141 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
142 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
143 | integrin | phospholipid bilayer | hydration shell | water 
144 | integrin | phospholipid bilayer | microfibril | transport vesicle 
145 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
146 | microfibril | transport vesicle | integrin | phospholipid bilayer 
147 | stroma | chloroplast | tight junction | phospholipid bilayer 
148 | sodium-potassium pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
149 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
150 | integrin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
151 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
152 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
153 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
154 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
155 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
156 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
157 | ATP synthase | phospholipid bilayer | integral protein | phospholipid bilayer 
158 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
159 | aquaporin | phospholipid bilayer | gated Channel | phospholipid bilayer 
160 | microfibril | transport vesicle | carrier protein | phospholipid bilayer 
161 | microfibril | transport vesicle | stroma | chloroplast 
162 | integrin | phospholipid bilayer | integral protein | phospholipid bilayer 
163 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
164 | integral protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
165 | hydration shell | water | ATP synthase | phospholipid bilayer 
166 | sodium-potassium pump | phospholipid bilayer | stroma | chloroplast 
167 | proton pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
168 | aquaporin | phospholipid bilayer | hydration shell | water 
169 | gated Channel | phospholipid bilayer | hydration shell | water 
170 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
171 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
172 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
173 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
174 | sodium-potassium pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
175 | proton pump | phospholipid bilayer | stroma | chloroplast 
176 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
177 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
178 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
179 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
180 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
181 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
182 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
183 | stroma | chloroplast | stroma | chloroplast 
184 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
185 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
186 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
187 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
188 | integrin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
189 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
190 | hydration shell | water | tight junction | phospholipid bilayer 
191 | microfibril | transport vesicle | integrin | phospholipid bilayer 
192 | desmosome | phospholipid bilayer | integral protein | phospholipid bilayer 
193 | sodium-potassium pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
194 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
195 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
196 | sodium-potassium pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
197 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
198 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
199 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
200 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
201 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
202 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
203 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
204 | stroma | chloroplast | integral protein | phospholipid bilayer 
205 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
206 | sodium-potassium pump | phospholipid bilayer | hydration shell | water 
207 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
208 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
209 | desmosome | phospholipid bilayer | hydration shell | water 
210 | hydration shell | water | carrier protein | phospholipid bilayer 
211 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
212 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
213 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
214 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
215 | transport membrane protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
216 | proton pump | phospholipid bilayer | stroma | chloroplast 
217 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
218 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
219 | transport membrane protein | phospholipid bilayer | tight junction | phospholipid bilayer 
220 | carrier protein | phospholipid bilayer | proton pump | phospholipid bilayer 
221 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
222 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
223 | integral protein | phospholipid bilayer | stroma | chloroplast 
224 | microfibril | transport vesicle | gated Channel | phospholipid bilayer 
225 | integrin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
226 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
227 | microfibril | transport vesicle | integrin | phospholipid bilayer 
228 | sodium-potassium pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
229 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
230 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
231 | microfibril | transport vesicle | carrier protein | phospholipid bilayer 
232 | integrin | phospholipid bilayer | desmosome | phospholipid bilayer 
233 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
234 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
235 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
236 | carrier protein | phospholipid bilayer | desmosome | phospholipid bilayer 
237 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
238 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
239 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
240 | tight junction | phospholipid bilayer | carrier protein | phospholipid bilayer 
241 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
242 | hydration shell | water | stroma | chloroplast 
243 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
244 | hydration shell | water | cytoplasmic protein kinase | cytoplasm 
245 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
246 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
247 | hydration shell | water | integrin | phospholipid bilayer 
248 | desmosome | phospholipid bilayer | hydration shell | water 
249 | integral protein | phospholipid bilayer | microfibril | transport vesicle 
250 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
251 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
252 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
253 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
254 | microfibril | transport vesicle | carrier protein | phospholipid bilayer 
255 | stroma | chloroplast | gated Channel | phospholipid bilayer 
256 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
257 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
258 | stroma | chloroplast | microfibril | transport vesicle 
259 | integral protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
260 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
261 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
262 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
263 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
264 | stroma | chloroplast | integral protein | phospholipid bilayer 
265 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
266 | tight junction | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
267 | ATP synthase | phospholipid bilayer | gated Channel | phospholipid bilayer 
268 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
269 | stroma | chloroplast | carrier protein | phospholipid bilayer 
270 | integrin | phospholipid bilayer | hydration shell | water 
271 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
272 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
273 | cytoplasmic protein kinase | cytoplasm | ATP synthase | phospholipid bilayer 
274 | hydration shell | water | integral protein | phospholipid bilayer 
275 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
276 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
277 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
278 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
279 | ATP synthase | phospholipid bilayer | hydration shell | water 
280 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
281 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
282 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
283 | hydration shell | water | ATP synthase | phospholipid bilayer 
284 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
285 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
286 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
287 | ATP synthase | phospholipid bilayer | stroma | chloroplast 
288 | ATP synthase | phospholipid bilayer | integral protein | phospholipid bilayer 
289 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
290 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
291 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
292 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
293 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
294 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
295 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
296 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
297 | stroma | chloroplast | stroma | chloroplast 
298 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
299 | sodium-potassium pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
300 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
301 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
302 | hydration shell | water | proton pump | phospholipid bilayer 
303 | hydration shell | water | hydration shell | water 
304 | stroma | chloroplast | proton pump | phospholipid bilayer 
305 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
306 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
307 | carrier protein | phospholipid bilayer | microfibril | transport vesicle 
308 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
309 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
310 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
311 | gated Channel | phospholipid bilayer | stroma | chloroplast 
312 | transport membrane protein | phospholipid bilayer | integral protein | phospholipid bilayer 
313 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
314 | integrin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
315 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
316 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
317 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
318 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
319 | carrier protein | phospholipid bilayer | hydration shell | water 
320 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
321 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
322 | microfibril | transport vesicle | microfibril | transport vesicle 
323 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
324 | sodium-potassium pump | phospholipid bilayer | integrin | phospholipid bilayer 
325 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
326 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
327 | cytoplasmic protein kinase | cytoplasm | sodium-potassium pump | phospholipid bilayer 
328 | integrin | phospholipid bilayer | desmosome | phospholipid bilayer 
329 | stroma | chloroplast | gated Channel | phospholipid bilayer 
330 | stroma | chloroplast | proton pump | phospholipid bilayer 
331 | desmosome | phospholipid bilayer | integrin | phospholipid bilayer 
332 | microfibril | transport vesicle | hydration shell | water 
333 | integrin | phospholipid bilayer | hydration shell | water 
334 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
335 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
336 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
337 | aquaporin | phospholipid bilayer | stroma | chloroplast 
338 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
339 | desmosome | phospholipid bilayer | ATP synthase | phospholipid bilayer 
340 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
341 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
342 | aquaporin | phospholipid bilayer | stroma | chloroplast 
343 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
344 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
345 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
346 | microfibril | transport vesicle | integrin | phospholipid bilayer 
347 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
348 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
349 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
350 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
351 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
352 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
353 | hydration shell | water | ATP synthase | phospholipid bilayer 
354 | ATP synthase | phospholipid bilayer | aquaporin | phospholipid bilayer 
355 | integral protein | phospholipid bilayer | integrin | phospholipid bilayer 
356 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
357 | desmosome | phospholipid bilayer | aquaporin | phospholipid bilayer 
358 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
359 | transport membrane protein | phospholipid bilayer | integral protein | phospholipid bilayer 
360 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
361 | proton pump | phospholipid bilayer | hydration shell | water 
362 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
363 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
364 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
365 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
366 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
367 | ATP synthase | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
368 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
369 | hydration shell | water | desmosome | phospholipid bilayer 
370 | carrier protein | phospholipid bilayer | hydration shell | water 
371 | stroma | chloroplast | aquaporin | phospholipid bilayer 
372 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
373 | stroma | chloroplast | tight junction | phospholipid bilayer 
374 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
375 | sodium-potassium pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
376 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
377 | stroma | chloroplast | desmosome | phospholipid bilayer 
378 | transport membrane protein | phospholipid bilayer | hydration shell | water 
379 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
380 | proton pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
381 | ATP synthase | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
382 | aquaporin | phospholipid bilayer | proton pump | phospholipid bilayer 
383 | integral protein | phospholipid bilayer | stroma | chloroplast 
384 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
385 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
386 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
387 | sodium-potassium pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
388 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
389 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
390 | hydration shell | water | integrin | phospholipid bilayer 
391 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
392 | integral protein | phospholipid bilayer | microfibril | transport vesicle 
393 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
394 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
395 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
396 | cytoplasmic protein kinase | cytoplasm | sodium-potassium pump | phospholipid bilayer 
397 | transport membrane protein | phospholipid bilayer | integral protein | phospholipid bilayer 
398 | gated Channel | phospholipid bilayer | stroma | chloroplast 
399 | hydration shell | water | hydration shell | water 
400 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
401 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
402 | integrin | phospholipid bilayer | stroma | chloroplast 
403 | ATP synthase | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
404 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
405 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
406 | integrin | phospholipid bilayer | proton pump | phospholipid bilayer 
