0 | NADP Plus | carbon skeleton | enzyme | active site 
46 | sulfur atom | atomic nucleus | phospholipid | fatty acid tail 
46 | sulfur atom | atomic nucleus | phospholipid | fatty acid tail 
46 | sulfur atom | atomic nucleus | phospholipid | hydrophilic head 
46 | sulfur atom | atomic nucleus | phospholipid | phosphate group 
47 | ketone | carbonyl group | nucleotide | carbon skeleton 
47 | ketone | carbonyl group | nucleotide | phosphate group 
48 | ketone | carbon skeleton | nucleotide | carbon skeleton 
48 | ketone | carbon skeleton | nucleotide | phosphate group 
56 | pentose | hydroxyl group | hexose | hydroxyl group 
56 | pentose | hydroxyl group | hexose | carbonyl group 
56 | pentose | hydroxyl group | hexose | carbon skeleton 
57 | pentose | carbonyl group | hexose | hydroxyl group 
57 | pentose | carbonyl group | hexose | carbonyl group 
57 | pentose | carbonyl group | hexose | carbon skeleton 
58 | pentose | carbon skeleton | hexose | hydroxyl group 
58 | pentose | carbon skeleton | hexose | carbonyl group 
58 | pentose | carbon skeleton | hexose | carbon skeleton 
61 | ethyl alcohol | carbon skeleton | adenylyl cyclase | active site 
62 | ethyl alcohol | hydroxyl group | adenylyl cyclase | active site 
63 | allosteric enzyme | carbon skeleton | PGAP | carbon skeleton 
63 | allosteric enzyme | carbon skeleton | PGAP | phosphate group 
63 | allosteric enzyme | carbon skeleton | PGAP | carboxyl group 
64 | allosteric enzyme | active site | PGAP | carbon skeleton 
64 | allosteric enzyme | active site | PGAP | phosphate group 
64 | allosteric enzyme | active site | PGAP | carboxyl group 
65 | allosteric enzyme | allosteric site | PGAP | carbon skeleton 
65 | allosteric enzyme | allosteric site | PGAP | phosphate group 
65 | allosteric enzyme | allosteric site | PGAP | carboxyl group 
68 | polysaccharide | hydroxyl group | glycogen | carbonyl group 
68 | polysaccharide | hydroxyl group | glycogen | hydroxyl group 
68 | polysaccharide | hydroxyl group | glycogen | carbon skeleton 
69 | polysaccharide | carbonyl group | glycogen | carbonyl group 
69 | polysaccharide | carbonyl group | glycogen | hydroxyl group 
69 | polysaccharide | carbonyl group | glycogen | carbon skeleton 
70 | polysaccharide | carbon skeleton | glycogen | carbonyl group 
70 | polysaccharide | carbon skeleton | glycogen | hydroxyl group 
70 | polysaccharide | carbon skeleton | glycogen | carbon skeleton 
80 | polysaccharide | hydroxyl group | amylose | hydroxyl group 
80 | polysaccharide | hydroxyl group | amylose | carbon skeleton 
80 | polysaccharide | hydroxyl group | amylose | carbonyl group 
81 | polysaccharide | carbonyl group | amylose | hydroxyl group 
81 | polysaccharide | carbonyl group | amylose | carbon skeleton 
81 | polysaccharide | carbonyl group | amylose | carbonyl group 
82 | polysaccharide | carbon skeleton | amylose | hydroxyl group 
82 | polysaccharide | carbon skeleton | amylose | carbon skeleton 
82 | polysaccharide | carbon skeleton | amylose | carbonyl group 
87 | proton pump | phosphate group | NADH | carbon skeleton 
88 | proton pump | carbon skeleton | NADH | carbon skeleton 
102 | alcohol | carbon skeleton | chitin | hydroxyl group 
102 | alcohol | carbon skeleton | chitin | carbonyl group 
102 | alcohol | carbon skeleton | chitin | carbon skeleton 
103 | alcohol | hydroxyl group | chitin | hydroxyl group 
103 | alcohol | hydroxyl group | chitin | carbonyl group 
103 | alcohol | hydroxyl group | chitin | carbon skeleton 
108 | oxidoreductase | carbon skeleton | atom | atomic nucleus 
108 | oxidoreductase | carbon skeleton | atom | electron-shell 
109 | glycoprotein | carbon skeleton | phosphatidylcholine | hydrophilic head 
109 | glycoprotein | carbon skeleton | phosphatidylcholine | fatty acid tail 
111 | unsaturated fatty acid | carbon skeleton | thylakoid | thylakoid space 
112 | unsaturated fatty acid | carboxyl group | thylakoid | thylakoid space 
113 | ADP | carbon skeleton | amylose | hydroxyl group 
113 | ADP | carbon skeleton | amylose | carbon skeleton 
113 | ADP | carbon skeleton | amylose | carbonyl group 
114 | ADP | phosphate group | amylose | hydroxyl group 
114 | ADP | phosphate group | amylose | carbon skeleton 
114 | ADP | phosphate group | amylose | carbonyl group 
115 | amine | amino group | prokaryote | nucleoid 
116 | MRNA | phosphate group | amino acid | carbon skeleton 
116 | MRNA | phosphate group | amino acid | carboxyl group 
116 | MRNA | phosphate group | amino acid | amino group 
116 | MRNA | phosphate group | amino acid | R-group 
117 | MRNA | carbon skeleton | amino acid | carbon skeleton 
117 | MRNA | carbon skeleton | amino acid | carboxyl group 
117 | MRNA | carbon skeleton | amino acid | amino group 
117 | MRNA | carbon skeleton | amino acid | R-group 
123 | P700 | carbon skeleton | coenzyme A | carbon skeleton 
123 | P700 | carbon skeleton | coenzyme A | sulfhydryl group 
124 | P700 | methyl group | coenzyme A | carbon skeleton 
124 | P700 | methyl group | coenzyme A | sulfhydryl group 
125 | carbohydrate side chain | hydroxyl group | phosphatidylcholine | hydrophilic head 
125 | carbohydrate side chain | hydroxyl group | phosphatidylcholine | fatty acid tail 
126 | carbohydrate side chain | carbon skeleton | phosphatidylcholine | hydrophilic head 
126 | carbohydrate side chain | carbon skeleton | phosphatidylcholine | fatty acid tail 
127 | carbohydrate side chain | carbonyl group | phosphatidylcholine | hydrophilic head 
127 | carbohydrate side chain | carbonyl group | phosphatidylcholine | fatty acid tail 
134 | boron atom | atomic nucleus | triose | hydroxyl group 
134 | boron atom | atomic nucleus | triose | carbonyl group 
134 | boron atom | atomic nucleus | triose | carbon skeleton 
136 | organic molecule | carbon skeleton | hydrocarbon molecule | carbon skeleton 
139 | tyrosine | hydroxyl group | NADPH | carbon skeleton 
140 | tyrosine | carbon skeleton | NADPH | carbon skeleton 
141 | tyrosine | carboxyl group | NADPH | carbon skeleton 
142 | tyrosine | amino group | NADPH | carbon skeleton 
143 | tyrosine | polar side chain | NADPH | carbon skeleton 
155 | integrin | carbon skeleton | monosaccharide | hydroxyl group 
155 | integrin | carbon skeleton | monosaccharide | carbonyl group 
155 | integrin | carbon skeleton | monosaccharide | carbon skeleton 
157 | AMP | carbon skeleton | smooth endoplasmic reticulum | cisternal space 
158 | AMP | phosphate group | smooth endoplasmic reticulum | cisternal space 
162 | 3 phosphoglycerate | carbon skeleton | oligosaccharide | carbonyl group 
163 | 3 phosphoglycerate | phosphate group | oligosaccharide | carbonyl group 
164 | 3 phosphoglycerate | carboxyl group | oligosaccharide | carbonyl group 
166 | channel protein | hydrophilic Channel | storage polysaccharide | hydroxyl group 
166 | channel protein | hydrophilic Channel | storage polysaccharide | carbonyl group 
166 | channel protein | hydrophilic Channel | storage polysaccharide | carbon skeleton 
167 | steroid | carbon skeleton | mitochondrion | mitochondrial matrix 
168 | aldehyde | carbon skeleton | NADPH | carbon skeleton 
169 | aldehyde | carbonyl group | NADPH | carbon skeleton 
179 | asparagine | carboxyl group | carboxylic acid | carbon skeleton 
179 | asparagine | carboxyl group | carboxylic acid | carboxyl group 
180 | asparagine | polar side chain | carboxylic acid | carbon skeleton 
180 | asparagine | polar side chain | carboxylic acid | carboxyl group 
181 | asparagine | amino group | carboxylic acid | carbon skeleton 
181 | asparagine | amino group | carboxylic acid | carboxyl group 
182 | asparagine | carbonyl group | carboxylic acid | carbon skeleton 
182 | asparagine | carbonyl group | carboxylic acid | carboxyl group 
183 | asparagine | amino group | carboxylic acid | carbon skeleton 
183 | asparagine | amino group | carboxylic acid | carboxyl group 
184 | asparagine | carbon skeleton | carboxylic acid | carbon skeleton 
184 | asparagine | carbon skeleton | carboxylic acid | carboxyl group 
186 | rubisco | active site | 3 phosphoglycerate | carbon skeleton 
186 | rubisco | active site | 3 phosphoglycerate | phosphate group 
186 | rubisco | active site | 3 phosphoglycerate | carboxyl group 
187 | rubisco | carbon skeleton | 3 phosphoglycerate | carbon skeleton 
187 | rubisco | carbon skeleton | 3 phosphoglycerate | phosphate group 
187 | rubisco | carbon skeleton | 3 phosphoglycerate | carboxyl group 
194 | oligosaccharide | carbonyl group | AMP | carbon skeleton 
194 | oligosaccharide | carbonyl group | AMP | phosphate group 
197 | motor protein | carbon skeleton | NADH | carbon skeleton 
198 | prokaryote | nucleoid | GTP | phosphate group 
198 | prokaryote | nucleoid | GTP | carbon skeleton 
202 | hydrophilic amino acid | carbon skeleton | prokaryote | nucleoid 
203 | hydrophilic amino acid | carboxyl group | prokaryote | nucleoid 
204 | hydrophilic amino acid | amino group | prokaryote | nucleoid 
205 | hydrophilic amino acid | R-group | prokaryote | nucleoid 
212 | integral protein | carbon skeleton | smooth endoplasmic reticulum | cisternal space 
213 | glycine | carboxyl group | channel protein | hydrophilic Channel 
214 | glycine | amino group | channel protein | hydrophilic Channel 
215 | glycine | carbon skeleton | channel protein | hydrophilic Channel 
218 | atom | atomic nucleus | phosphatidylcholine | hydrophilic head 
218 | atom | atomic nucleus | phosphatidylcholine | fatty acid tail 
219 | atom | electron-shell | phosphatidylcholine | hydrophilic head 
219 | atom | electron-shell | phosphatidylcholine | fatty acid tail 
222 | sucrose | carbon skeleton | microfibril | carbon skeleton 
223 | sucrose | hydroxyl group | microfibril | carbon skeleton 
224 | sucrose | carbonyl group | microfibril | carbon skeleton 
225 | mitochondrion | mitochondrial matrix | pyruvate | carbon skeleton 
225 | mitochondrion | mitochondrial matrix | pyruvate | carboxyl group 
225 | mitochondrion | mitochondrial matrix | pyruvate | carbonyl group 
227 | oligosaccharide | carbonyl group | channel protein | hydrophilic Channel 
232 | phospholipid | carbon skeleton | amylose | hydroxyl group 
232 | phospholipid | carbon skeleton | amylose | carbon skeleton 
232 | phospholipid | carbon skeleton | amylose | carbonyl group 
233 | phospholipid | fatty acid tail | amylose | hydroxyl group 
233 | phospholipid | fatty acid tail | amylose | carbon skeleton 
233 | phospholipid | fatty acid tail | amylose | carbonyl group 
234 | phospholipid | fatty acid tail | amylose | hydroxyl group 
234 | phospholipid | fatty acid tail | amylose | carbon skeleton 
234 | phospholipid | fatty acid tail | amylose | carbonyl group 
235 | phospholipid | hydrophilic head | amylose | hydroxyl group 
235 | phospholipid | hydrophilic head | amylose | carbon skeleton 
235 | phospholipid | hydrophilic head | amylose | carbonyl group 
236 | phospholipid | phosphate group | amylose | hydroxyl group 
236 | phospholipid | phosphate group | amylose | carbon skeleton 
236 | phospholipid | phosphate group | amylose | carbonyl group 
240 | PEP carboxylase | active site | atom | atomic nucleus 
240 | PEP carboxylase | active site | atom | electron-shell 
241 | PEP carboxylase | carbon skeleton | atom | atomic nucleus 
241 | PEP carboxylase | carbon skeleton | atom | electron-shell 
243 | amine | amino group | AMP | carbon skeleton 
243 | amine | amino group | AMP | phosphate group 
246 | thylakoid | thylakoid space | ADP | carbon skeleton 
246 | thylakoid | thylakoid space | ADP | phosphate group 
252 | dynein | carbon skeleton | aldehyde | carbon skeleton 
252 | dynein | carbon skeleton | aldehyde | carbonyl group 
261 | dynein | carbon skeleton | prokaryote | nucleoid 
262 | ribulose bisphosphate | carbon skeleton | phospholipid | carbon skeleton 
262 | ribulose bisphosphate | carbon skeleton | phospholipid | fatty acid tail 
262 | ribulose bisphosphate | carbon skeleton | phospholipid | fatty acid tail 
262 | ribulose bisphosphate | carbon skeleton | phospholipid | hydrophilic head 
262 | ribulose bisphosphate | carbon skeleton | phospholipid | phosphate group 
263 | ribulose bisphosphate | hydroxyl group | phospholipid | carbon skeleton 
263 | ribulose bisphosphate | hydroxyl group | phospholipid | fatty acid tail 
263 | ribulose bisphosphate | hydroxyl group | phospholipid | fatty acid tail 
263 | ribulose bisphosphate | hydroxyl group | phospholipid | hydrophilic head 
263 | ribulose bisphosphate | hydroxyl group | phospholipid | phosphate group 
264 | ribulose bisphosphate | carbonyl group | phospholipid | carbon skeleton 
264 | ribulose bisphosphate | carbonyl group | phospholipid | fatty acid tail 
264 | ribulose bisphosphate | carbonyl group | phospholipid | fatty acid tail 
264 | ribulose bisphosphate | carbonyl group | phospholipid | hydrophilic head 
264 | ribulose bisphosphate | carbonyl group | phospholipid | phosphate group 
265 | ribulose bisphosphate | phosphate group | phospholipid | carbon skeleton 
265 | ribulose bisphosphate | phosphate group | phospholipid | fatty acid tail 
265 | ribulose bisphosphate | phosphate group | phospholipid | fatty acid tail 
265 | ribulose bisphosphate | phosphate group | phospholipid | hydrophilic head 
265 | ribulose bisphosphate | phosphate group | phospholipid | phosphate group 
270 | amylose | hydroxyl group | phosphatidylcholine | hydrophilic head 
270 | amylose | hydroxyl group | phosphatidylcholine | fatty acid tail 
271 | amylose | carbon skeleton | phosphatidylcholine | hydrophilic head 
271 | amylose | carbon skeleton | phosphatidylcholine | fatty acid tail 
272 | amylose | carbonyl group | phosphatidylcholine | hydrophilic head 
272 | amylose | carbonyl group | phosphatidylcholine | fatty acid tail 
274 | polypeptide | amino end of a protein | monosaccharide | hydroxyl group 
274 | polypeptide | amino end of a protein | monosaccharide | carbonyl group 
274 | polypeptide | amino end of a protein | monosaccharide | carbon skeleton 
275 | adenylyl cyclase | active site | ATP | carbon skeleton 
275 | adenylyl cyclase | active site | ATP | phosphate group 
275 | adenylyl cyclase | active site | ATP | phosphate group 
275 | adenylyl cyclase | active site | ATP | phosphate group 
282 | GTP | phosphate group | chitin | hydroxyl group 
282 | GTP | phosphate group | chitin | carbonyl group 
282 | GTP | phosphate group | chitin | carbon skeleton 
283 | GTP | carbon skeleton | chitin | hydroxyl group 
283 | GTP | carbon skeleton | chitin | carbonyl group 
283 | GTP | carbon skeleton | chitin | carbon skeleton 
286 | carbohydrate side chain | hydroxyl group | hexose | hydroxyl group 
286 | carbohydrate side chain | hydroxyl group | hexose | carbonyl group 
286 | carbohydrate side chain | hydroxyl group | hexose | carbon skeleton 
287 | carbohydrate side chain | carbon skeleton | hexose | hydroxyl group 
287 | carbohydrate side chain | carbon skeleton | hexose | carbonyl group 
287 | carbohydrate side chain | carbon skeleton | hexose | carbon skeleton 
288 | carbohydrate side chain | carbonyl group | hexose | hydroxyl group 
288 | carbohydrate side chain | carbonyl group | hexose | carbonyl group 
288 | carbohydrate side chain | carbonyl group | hexose | carbon skeleton 
292 | NADP Plus | carbon skeleton | glycogen | carbonyl group 
292 | NADP Plus | carbon skeleton | glycogen | hydroxyl group 
292 | NADP Plus | carbon skeleton | glycogen | carbon skeleton 
293 | gated Channel | hydrophilic Channel | pyruvate | carbon skeleton 
293 | gated Channel | hydrophilic Channel | pyruvate | carboxyl group 
293 | gated Channel | hydrophilic Channel | pyruvate | carbonyl group 
294 | gated Channel | carbon skeleton | pyruvate | carbon skeleton 
294 | gated Channel | carbon skeleton | pyruvate | carboxyl group 
294 | gated Channel | carbon skeleton | pyruvate | carbonyl group 
298 | pentose | hydroxyl group | lactic acid | carbon skeleton 
298 | pentose | hydroxyl group | lactic acid | carboxyl group 
298 | pentose | hydroxyl group | lactic acid | hydroxyl group 
299 | pentose | carbonyl group | lactic acid | carbon skeleton 
299 | pentose | carbonyl group | lactic acid | carboxyl group 
299 | pentose | carbonyl group | lactic acid | hydroxyl group 
300 | pentose | carbon skeleton | lactic acid | carbon skeleton 
300 | pentose | carbon skeleton | lactic acid | carboxyl group 
300 | pentose | carbon skeleton | lactic acid | hydroxyl group 
301 | carbon atom | atomic nucleus | nucleotide | carbon skeleton 
301 | carbon atom | atomic nucleus | nucleotide | phosphate group 
304 | polar amino acid | polar side chain | phospholipid | carbon skeleton 
304 | polar amino acid | polar side chain | phospholipid | fatty acid tail 
304 | polar amino acid | polar side chain | phospholipid | fatty acid tail 
304 | polar amino acid | polar side chain | phospholipid | hydrophilic head 
304 | polar amino acid | polar side chain | phospholipid | phosphate group 
314 | lipid | carbon skeleton | 3 phosphoglycerate | carbon skeleton 
314 | lipid | carbon skeleton | 3 phosphoglycerate | phosphate group 
314 | lipid | carbon skeleton | 3 phosphoglycerate | carboxyl group 
315 | amine | amino group | allosteric enzyme | carbon skeleton 
315 | amine | amino group | allosteric enzyme | active site 
315 | amine | amino group | allosteric enzyme | allosteric site 
316 | chitin | hydroxyl group | rough endoplasmic reticulum | cisternal space 
317 | chitin | carbonyl group | rough endoplasmic reticulum | cisternal space 
318 | chitin | carbon skeleton | rough endoplasmic reticulum | cisternal space 
322 | peripheral protein | carbon skeleton | lactic acid | carbon skeleton 
322 | peripheral protein | carbon skeleton | lactic acid | carboxyl group 
322 | peripheral protein | carbon skeleton | lactic acid | hydroxyl group 
324 | 3 phosphoglycerate | carbon skeleton | ATP | carbon skeleton 
324 | 3 phosphoglycerate | carbon skeleton | ATP | phosphate group 
324 | 3 phosphoglycerate | carbon skeleton | ATP | phosphate group 
324 | 3 phosphoglycerate | carbon skeleton | ATP | phosphate group 
325 | 3 phosphoglycerate | phosphate group | ATP | carbon skeleton 
325 | 3 phosphoglycerate | phosphate group | ATP | phosphate group 
325 | 3 phosphoglycerate | phosphate group | ATP | phosphate group 
325 | 3 phosphoglycerate | phosphate group | ATP | phosphate group 
326 | 3 phosphoglycerate | carboxyl group | ATP | carbon skeleton 
326 | 3 phosphoglycerate | carboxyl group | ATP | phosphate group 
326 | 3 phosphoglycerate | carboxyl group | ATP | phosphate group 
326 | 3 phosphoglycerate | carboxyl group | ATP | phosphate group 
327 | amino acid | carbon skeleton | phospholipid | carbon skeleton 
327 | amino acid | carbon skeleton | phospholipid | fatty acid tail 
327 | amino acid | carbon skeleton | phospholipid | fatty acid tail 
327 | amino acid | carbon skeleton | phospholipid | hydrophilic head 
327 | amino acid | carbon skeleton | phospholipid | phosphate group 
328 | amino acid | carboxyl group | phospholipid | carbon skeleton 
328 | amino acid | carboxyl group | phospholipid | fatty acid tail 
328 | amino acid | carboxyl group | phospholipid | fatty acid tail 
328 | amino acid | carboxyl group | phospholipid | hydrophilic head 
328 | amino acid | carboxyl group | phospholipid | phosphate group 
329 | amino acid | amino group | phospholipid | carbon skeleton 
329 | amino acid | amino group | phospholipid | fatty acid tail 
329 | amino acid | amino group | phospholipid | fatty acid tail 
329 | amino acid | amino group | phospholipid | hydrophilic head 
329 | amino acid | amino group | phospholipid | phosphate group 
330 | amino acid | R-group | phospholipid | carbon skeleton 
330 | amino acid | R-group | phospholipid | fatty acid tail 
330 | amino acid | R-group | phospholipid | fatty acid tail 
330 | amino acid | R-group | phospholipid | hydrophilic head 
330 | amino acid | R-group | phospholipid | phosphate group 
332 | pepsin | active site | endoplasmic reticulum | cisternal space 
335 | adenylyl cyclase | active site | polysaccharide | hydroxyl group 
335 | adenylyl cyclase | active site | polysaccharide | carbonyl group 
335 | adenylyl cyclase | active site | polysaccharide | carbon skeleton 
336 | dynein | carbon skeleton | pentose | hydroxyl group 
336 | dynein | carbon skeleton | pentose | carbonyl group 
336 | dynein | carbon skeleton | pentose | carbon skeleton 
337 | AMP | carbon skeleton | organic molecule | carbon skeleton 
338 | AMP | phosphate group | organic molecule | carbon skeleton 
339 | phosphatidylcholine | hydrophilic head | amino acid | carbon skeleton 
339 | phosphatidylcholine | hydrophilic head | amino acid | carboxyl group 
339 | phosphatidylcholine | hydrophilic head | amino acid | amino group 
339 | phosphatidylcholine | hydrophilic head | amino acid | R-group 
340 | phosphatidylcholine | fatty acid tail | amino acid | carbon skeleton 
340 | phosphatidylcholine | fatty acid tail | amino acid | carboxyl group 
340 | phosphatidylcholine | fatty acid tail | amino acid | amino group 
340 | phosphatidylcholine | fatty acid tail | amino acid | R-group 
345 | nuclear-envelope | intermembrane space | NAD plus | carbon skeleton 
346 | FADH2 | carbon skeleton | lactic acid | carbon skeleton 
346 | FADH2 | carbon skeleton | lactic acid | carboxyl group 
346 | FADH2 | carbon skeleton | lactic acid | hydroxyl group 
347 | glycine | carboxyl group | microfibril | carbon skeleton 
348 | glycine | amino group | microfibril | carbon skeleton 
349 | glycine | carbon skeleton | microfibril | carbon skeleton 
356 | amine | amino group | prokaryote | nucleoid 
357 | cholesterol | carbon skeleton | allosteric enzyme | carbon skeleton 
357 | cholesterol | carbon skeleton | allosteric enzyme | active site 
357 | cholesterol | carbon skeleton | allosteric enzyme | allosteric site 
358 | beta tubulin | amino end of a protein | NADPH | carbon skeleton 
359 | beta tubulin | carbon skeleton | NADPH | carbon skeleton 
360 | lactic acid | carbon skeleton | thylakoid | thylakoid space 
361 | lactic acid | carboxyl group | thylakoid | thylakoid space 
362 | lactic acid | hydroxyl group | thylakoid | thylakoid space 
363 | phosphatidylcholine | hydrophilic head | glycogen | carbonyl group 
363 | phosphatidylcholine | hydrophilic head | glycogen | hydroxyl group 
363 | phosphatidylcholine | hydrophilic head | glycogen | carbon skeleton 
364 | phosphatidylcholine | fatty acid tail | glycogen | carbonyl group 
364 | phosphatidylcholine | fatty acid tail | glycogen | hydroxyl group 
364 | phosphatidylcholine | fatty acid tail | glycogen | carbon skeleton 
367 | nucleotide | carbon skeleton | smooth endoplasmic reticulum | cisternal space 
368 | nucleotide | phosphate group | smooth endoplasmic reticulum | cisternal space 
369 | gated Channel | hydrophilic Channel | ATP | carbon skeleton 
369 | gated Channel | hydrophilic Channel | ATP | phosphate group 
369 | gated Channel | hydrophilic Channel | ATP | phosphate group 
369 | gated Channel | hydrophilic Channel | ATP | phosphate group 
370 | gated Channel | carbon skeleton | ATP | carbon skeleton 
370 | gated Channel | carbon skeleton | ATP | phosphate group 
370 | gated Channel | carbon skeleton | ATP | phosphate group 
370 | gated Channel | carbon skeleton | ATP | phosphate group 
372 | pepsin | active site | rough endoplasmic reticulum | cisternal space 
378 | hydrogen atom | atomic nucleus | oligosaccharide | carbonyl group 
379 | hydrogen atom | first electron-shell | oligosaccharide | carbonyl group 
383 | cholesterol | carbon skeleton | polysaccharide | hydroxyl group 
383 | cholesterol | carbon skeleton | polysaccharide | carbonyl group 
383 | cholesterol | carbon skeleton | polysaccharide | carbon skeleton 
384 | AMP | carbon skeleton | triose | hydroxyl group 
384 | AMP | carbon skeleton | triose | carbonyl group 
384 | AMP | carbon skeleton | triose | carbon skeleton 
385 | AMP | phosphate group | triose | hydroxyl group 
385 | AMP | phosphate group | triose | carbonyl group 
385 | AMP | phosphate group | triose | carbon skeleton 
391 | lipid | carbon skeleton | 3 phosphoglycerate | carbon skeleton 
391 | lipid | carbon skeleton | 3 phosphoglycerate | phosphate group 
391 | lipid | carbon skeleton | 3 phosphoglycerate | carboxyl group 
397 | PGAP | carbon skeleton | AMP | carbon skeleton 
397 | PGAP | carbon skeleton | AMP | phosphate group 
398 | PGAP | phosphate group | AMP | carbon skeleton 
398 | PGAP | phosphate group | AMP | phosphate group 
399 | PGAP | carboxyl group | AMP | carbon skeleton 
399 | PGAP | carboxyl group | AMP | phosphate group 
402 | mitochondrion | mitochondrial matrix | organic molecule | carbon skeleton 
406 | chlorophyll B | carbon skeleton | ribulose bisphosphate | carbon skeleton 
406 | chlorophyll B | carbon skeleton | ribulose bisphosphate | hydroxyl group 
406 | chlorophyll B | carbon skeleton | ribulose bisphosphate | carbonyl group 
406 | chlorophyll B | carbon skeleton | ribulose bisphosphate | phosphate group 
407 | chlorophyll B | carbonyl group | ribulose bisphosphate | carbon skeleton 
407 | chlorophyll B | carbonyl group | ribulose bisphosphate | hydroxyl group 
407 | chlorophyll B | carbonyl group | ribulose bisphosphate | carbonyl group 
407 | chlorophyll B | carbonyl group | ribulose bisphosphate | phosphate group 
408 | adenylyl cyclase | active site | ribulose bisphosphate | carbon skeleton 
408 | adenylyl cyclase | active site | ribulose bisphosphate | hydroxyl group 
408 | adenylyl cyclase | active site | ribulose bisphosphate | carbonyl group 
408 | adenylyl cyclase | active site | ribulose bisphosphate | phosphate group 
409 | NADPH | carbon skeleton | atom | atomic nucleus 
409 | NADPH | carbon skeleton | atom | electron-shell 
410 | mitochondrial membrane | intermembrane space | aldehyde | carbon skeleton 
410 | mitochondrial membrane | intermembrane space | aldehyde | carbonyl group 
413 | starch | carbon skeleton | coenzyme A | carbon skeleton 
413 | starch | carbon skeleton | coenzyme A | sulfhydryl group 
414 | starch | carbonyl group | coenzyme A | carbon skeleton 
414 | starch | carbonyl group | coenzyme A | sulfhydryl group 
415 | starch | hydroxyl group | coenzyme A | carbon skeleton 
415 | starch | hydroxyl group | coenzyme A | sulfhydryl group 
419 | GTP | phosphate group | organic molecule | carbon skeleton 
420 | GTP | carbon skeleton | organic molecule | carbon skeleton 
421 | cytochrome | carbon skeleton | 3 phosphoglycerate | carbon skeleton 
421 | cytochrome | carbon skeleton | 3 phosphoglycerate | phosphate group 
421 | cytochrome | carbon skeleton | 3 phosphoglycerate | carboxyl group 
422 | P700 | carbon skeleton | NADPH | carbon skeleton 
423 | P700 | methyl group | NADPH | carbon skeleton 
426 | alanine | carboxyl group | ADP | carbon skeleton 
426 | alanine | carboxyl group | ADP | phosphate group 
427 | alanine | amino group | ADP | carbon skeleton 
427 | alanine | amino group | ADP | phosphate group 
428 | alanine | carbon skeleton | ADP | carbon skeleton 
428 | alanine | carbon skeleton | ADP | phosphate group 
441 | dynein | carbon skeleton | hexose | hydroxyl group 
441 | dynein | carbon skeleton | hexose | carbonyl group 
441 | dynein | carbon skeleton | hexose | carbon skeleton 
444 | adenylyl cyclase | active site | 3 phosphoglycerate | carbon skeleton 
444 | adenylyl cyclase | active site | 3 phosphoglycerate | phosphate group 
444 | adenylyl cyclase | active site | 3 phosphoglycerate | carboxyl group 
445 | oligosaccharide | carbonyl group | FADH2 | carbon skeleton 
446 | polypeptide | amino end of a protein | hexose | hydroxyl group 
446 | polypeptide | amino end of a protein | hexose | carbonyl group 
