15 | hydrogenated vegetable oil | saturated fat | hydrophobic substance | hydrophobic compound 
132 | basic solution | base | phospholipid bilayer | lipid 
132 | basic solution | base | phospholipid bilayer | lipid 
132 | basic solution | base | phospholipid bilayer | phospholipid 
133 | basic solution | hydroxide ion | phospholipid bilayer | phospholipid 
133 | basic solution | hydroxide ion | phospholipid bilayer | phospholipid 
133 | basic solution | hydroxide ion | phospholipid bilayer | lipid 
133 | basic solution | hydroxide ion | phospholipid bilayer | lipid 
133 | basic solution | hydroxide ion | phospholipid bilayer | lipid 
133 | basic solution | hydroxide ion | phospholipid bilayer | lipid 
133 | basic solution | hydroxide ion | phospholipid bilayer | phospholipid 
134 | acidic solution | water | water | water molecule 
134 | acidic solution | water | water | water molecule 
135 | acidic solution | acid | water | water molecule 
135 | acidic solution | acid | water | water molecule 
136 | acidic solution | hydrogen ion | water | water molecule 
136 | acidic solution | hydrogen ion | water | water molecule 
137 | acidic solution | anion | water | water molecule 
137 | acidic solution | anion | water | water molecule 
164 | carboxylic acid | hydrogen atom | water molecule | oxygen atom 
164 | carboxylic acid | hydrogen atom | water molecule | hydrogen atom 
164 | carboxylic acid | hydrogen atom | water molecule | hydrogen atom 
165 | carboxylic acid | oxygen atom | water molecule | oxygen atom 
165 | carboxylic acid | oxygen atom | water molecule | hydrogen atom 
165 | carboxylic acid | oxygen atom | water molecule | hydrogen atom 
166 | carboxylic acid | oxygen atom | water molecule | oxygen atom 
166 | carboxylic acid | oxygen atom | water molecule | hydrogen atom 
166 | carboxylic acid | oxygen atom | water molecule | hydrogen atom 
205 | transport membrane protein | polypeptide | buffer | weak acid 
205 | transport membrane protein | polypeptide | buffer | base 
206 | transport membrane protein | hydrophobic amino acid | buffer | weak acid 
206 | transport membrane protein | hydrophobic amino acid | buffer | base 
207 | transport membrane protein | atom | buffer | weak acid 
207 | transport membrane protein | atom | buffer | base 
208 | transport membrane protein | monomer | buffer | weak acid 
208 | transport membrane protein | monomer | buffer | base 
209 | transport membrane protein | polar amino acid | buffer | weak acid 
209 | transport membrane protein | polar amino acid | buffer | base 
218 | PEP carboxylase | atom | fat molecule | glycerol 
218 | PEP carboxylase | atom | fat molecule | fatty acid 
219 | PEP carboxylase | monomer | fat molecule | glycerol 
219 | PEP carboxylase | monomer | fat molecule | fatty acid 
220 | PEP carboxylase | polypeptide | fat molecule | glycerol 
220 | PEP carboxylase | polypeptide | fat molecule | fatty acid 
225 | C4 plant | water | animal | animal cell 
225 | C4 plant | water | animal | water 
226 | C4 plant | plant cell | animal | animal cell 
226 | C4 plant | plant cell | animal | water 
227 | C4 plant | leaf | animal | animal cell 
227 | C4 plant | leaf | animal | water 
228 | C4 plant | bundle-sheath cell | animal | animal cell 
228 | C4 plant | bundle-sheath cell | animal | water 
235 | intermediate filament | monomer | hydrophilic substance | hydrophilic compound 
236 | intermediate filament | polypeptide | hydrophilic substance | hydrophilic compound 
237 | intermediate filament | atom | hydrophilic substance | hydrophilic compound 
238 | intermediate filament | monomer | hydrophilic substance | hydrophilic compound 
239 | animal | animal cell | nucleoside | nitrogenous base 
239 | animal | animal cell | nucleoside | pentose 
240 | animal | water | nucleoside | nitrogenous base 
240 | animal | water | nucleoside | pentose 
243 | dynein | polypeptide | microvillus | microfilament 
244 | dynein | atom | microvillus | microfilament 
245 | dynein | monomer | microvillus | microfilament 
249 | glucose-6-phosphate | phosphorus atom | sunlight | ultraviolet ray 
249 | glucose-6-phosphate | phosphorus atom | sunlight | infrared ray 
249 | glucose-6-phosphate | phosphorus atom | sunlight | visible light 
256 | membrane | phospholipid bilayer | buffer | weak acid 
256 | membrane | phospholipid bilayer | buffer | base 
257 | membrane | glycoprotein | buffer | weak acid 
257 | membrane | glycoprotein | buffer | base 
258 | membrane | glycolipid | buffer | weak acid 
258 | membrane | glycolipid | buffer | base 
259 | membrane | saturated fatty acid | buffer | weak acid 
259 | membrane | saturated fatty acid | buffer | base 
268 | cell wall | carbohydrate | ice | water molecule 
268 | cell wall | carbohydrate | ice | water molecule 
269 | cell wall | protein | ice | water molecule 
269 | cell wall | protein | ice | water molecule 
274 | cilium | protein enzyme | ice | water molecule 
274 | cilium | protein enzyme | ice | water molecule 
275 | cilium | aqueous solution | ice | water molecule 
275 | cilium | aqueous solution | ice | water molecule 
276 | pyruvate | oxygen atom | microvillus | microfilament 
277 | pyruvate | hydrogen atom | microvillus | microfilament 
278 | pyruvate | oxygen atom | microvillus | microfilament 
279 | phosphofructokinase | monomer | thylakoid | thylakoid membrane 
280 | phosphofructokinase | atom | thylakoid | thylakoid membrane 
281 | phosphofructokinase | polypeptide | thylakoid | thylakoid membrane 
282 | FADH2 | atom | proline | hydrogen atom 
282 | FADH2 | atom | proline | nitrogen atom 
300 | plant cell | nucleus | ionic compound | anion 
300 | plant cell | nucleus | ionic compound | cation 
301 | plant cell | cytoplasm | ionic compound | anion 
301 | plant cell | cytoplasm | ionic compound | cation 
302 | plant cell | chloroplast | ionic compound | anion 
302 | plant cell | chloroplast | ionic compound | cation 
303 | plant cell | central vacuole | ionic compound | anion 
303 | plant cell | central vacuole | ionic compound | cation 
304 | plant cell | centrosome | ionic compound | anion 
304 | plant cell | centrosome | ionic compound | cation 
305 | plant cell | central vacuole | ionic compound | anion 
305 | plant cell | central vacuole | ionic compound | cation 
306 | plant cell | rough endoplasmic reticulum | ionic compound | anion 
306 | plant cell | rough endoplasmic reticulum | ionic compound | cation 
307 | plant cell | smooth endoplasmic reticulum | ionic compound | anion 
307 | plant cell | smooth endoplasmic reticulum | ionic compound | cation 
308 | plant cell | peroxisome | ionic compound | anion 
308 | plant cell | peroxisome | ionic compound | cation 
309 | plant cell | cytoskeleton | ionic compound | anion 
309 | plant cell | cytoskeleton | ionic compound | cation 
310 | plant cell | mitochondrion | ionic compound | anion 
310 | plant cell | mitochondrion | ionic compound | cation 
311 | plant cell | Golgi apparatus | ionic compound | anion 
311 | plant cell | Golgi apparatus | ionic compound | cation 
312 | plant cell | plant cell-wall | ionic compound | anion 
312 | plant cell | plant cell-wall | ionic compound | cation 
329 | acetaldehyde | hydrogen atom | O2-gas | oxygen molecule 
343 | water molecule | oxygen atom | buffer | weak acid 
343 | water molecule | oxygen atom | buffer | base 
344 | water molecule | hydrogen atom | buffer | weak acid 
344 | water molecule | hydrogen atom | buffer | base 
345 | water molecule | hydrogen atom | buffer | weak acid 
345 | water molecule | hydrogen atom | buffer | base 
348 | hydrogenated vegetable oil | saturated fat | microvillus | microfilament 
352 | NADH | atom | cytoskeleton | intermediate filament 
352 | NADH | atom | cytoskeleton | microfilament 
352 | NADH | atom | cytoskeleton | microtubule 
355 | hydroxide ion | oxygen atom | nucleoside | nitrogenous base 
355 | hydroxide ion | oxygen atom | nucleoside | pentose 
356 | hydroxide ion | hydrogen atom | nucleoside | nitrogenous base 
356 | hydroxide ion | hydrogen atom | nucleoside | pentose 
358 | nuclear-envelope | pore complex | smooth endoplasmic reticulum | ER membrane 
358 | nuclear-envelope | pore complex | smooth endoplasmic reticulum | cisterna 
358 | nuclear-envelope | pore complex | smooth endoplasmic reticulum | aqueous solution 
358 | nuclear-envelope | pore complex | smooth endoplasmic reticulum | protein enzyme 
358 | nuclear-envelope | pore complex | smooth endoplasmic reticulum | protein enzyme 
359 | nuclear-envelope | phospholipid bilayer | smooth endoplasmic reticulum | ER membrane 
359 | nuclear-envelope | phospholipid bilayer | smooth endoplasmic reticulum | cisterna 
359 | nuclear-envelope | phospholipid bilayer | smooth endoplasmic reticulum | aqueous solution 
359 | nuclear-envelope | phospholipid bilayer | smooth endoplasmic reticulum | protein enzyme 
359 | nuclear-envelope | phospholipid bilayer | smooth endoplasmic reticulum | protein enzyme 
360 | nuclear-envelope | glycoprotein | smooth endoplasmic reticulum | ER membrane 
360 | nuclear-envelope | glycoprotein | smooth endoplasmic reticulum | cisterna 
360 | nuclear-envelope | glycoprotein | smooth endoplasmic reticulum | aqueous solution 
360 | nuclear-envelope | glycoprotein | smooth endoplasmic reticulum | protein enzyme 
360 | nuclear-envelope | glycoprotein | smooth endoplasmic reticulum | protein enzyme 
361 | nuclear-envelope | saturated fatty acid | smooth endoplasmic reticulum | ER membrane 
361 | nuclear-envelope | saturated fatty acid | smooth endoplasmic reticulum | cisterna 
361 | nuclear-envelope | saturated fatty acid | smooth endoplasmic reticulum | aqueous solution 
361 | nuclear-envelope | saturated fatty acid | smooth endoplasmic reticulum | protein enzyme 
361 | nuclear-envelope | saturated fatty acid | smooth endoplasmic reticulum | protein enzyme 
385 | thylakoid membrane | plastoquinone | ice | water molecule 
385 | thylakoid membrane | plastoquinone | ice | water molecule 
386 | thylakoid membrane | phospholipid bilayer | ice | water molecule 
386 | thylakoid membrane | phospholipid bilayer | ice | water molecule 
387 | thylakoid membrane | ATP synthase | ice | water molecule 
387 | thylakoid membrane | ATP synthase | ice | water molecule 
388 | thylakoid membrane | thylakoid electron transport chain | ice | water molecule 
388 | thylakoid membrane | thylakoid electron transport chain | ice | water molecule 
423 | chlorophyll | magnesium atom | microvillus | microfilament 
424 | carbon 13 atom | neutron | adenylyl cyclase | polypeptide 
425 | carbon 13 atom | proton | adenylyl cyclase | polypeptide 
438 | mitochondrion | mitochondrial membrane | basic solution | cation 
438 | mitochondrion | mitochondrial membrane | basic solution | water 
438 | mitochondrion | mitochondrial membrane | basic solution | base 
438 | mitochondrion | mitochondrial membrane | basic solution | hydroxide ion 
439 | mitochondrion | protein enzyme | basic solution | cation 
439 | mitochondrion | protein enzyme | basic solution | water 
439 | mitochondrion | protein enzyme | basic solution | base 
439 | mitochondrion | protein enzyme | basic solution | hydroxide ion 
440 | mitochondrion | MRNA | basic solution | cation 
440 | mitochondrion | MRNA | basic solution | water 
440 | mitochondrion | MRNA | basic solution | base 
440 | mitochondrion | MRNA | basic solution | hydroxide ion 
441 | mitochondrion | ribosome | basic solution | cation 
441 | mitochondrion | ribosome | basic solution | water 
441 | mitochondrion | ribosome | basic solution | base 
441 | mitochondrion | ribosome | basic solution | hydroxide ion 
442 | mitochondrion | protein enzyme | basic solution | cation 
442 | mitochondrion | protein enzyme | basic solution | water 
442 | mitochondrion | protein enzyme | basic solution | base 
442 | mitochondrion | protein enzyme | basic solution | hydroxide ion 
443 | mitochondrion | aqueous solution | basic solution | cation 
443 | mitochondrion | aqueous solution | basic solution | water 
443 | mitochondrion | aqueous solution | basic solution | base 
443 | mitochondrion | aqueous solution | basic solution | hydroxide ion 
449 | cytoskeleton | intermediate filament | cytoskeleton | intermediate filament 
449 | cytoskeleton | intermediate filament | cytoskeleton | microfilament 
449 | cytoskeleton | intermediate filament | cytoskeleton | microtubule 
450 | cytoskeleton | microfilament | cytoskeleton | intermediate filament 
450 | cytoskeleton | microfilament | cytoskeleton | microfilament 
450 | cytoskeleton | microfilament | cytoskeleton | microtubule 
451 | cytoskeleton | microtubule | cytoskeleton | intermediate filament 
451 | cytoskeleton | microtubule | cytoskeleton | microfilament 
451 | cytoskeleton | microtubule | cytoskeleton | microtubule 
452 | cytoplasm | cellular structure | chromosome | DNA 
452 | cytoplasm | cellular structure | chromosome | protein 
453 | cytoplasm | hydrophilic compound | chromosome | DNA 
453 | cytoplasm | hydrophilic compound | chromosome | protein 
457 | nitrogen atom | proton | oxygen molecule | oxygen atom 
457 | nitrogen atom | proton | oxygen molecule | oxygen atom 
458 | nitrogen atom | valence electron | oxygen molecule | oxygen atom 
458 | nitrogen atom | valence electron | oxygen molecule | oxygen atom 
459 | nitrogen atom | neutron | oxygen molecule | oxygen atom 
459 | nitrogen atom | neutron | oxygen molecule | oxygen atom 
460 | nitrogen atom | valence electron | oxygen molecule | oxygen atom 
460 | nitrogen atom | valence electron | oxygen molecule | oxygen atom 
461 | hypertonic solution | water | sunlight | ultraviolet ray 
461 | hypertonic solution | water | sunlight | infrared ray 
461 | hypertonic solution | water | sunlight | visible light 
466 | ATP | oxygen atom | acidic solution | water 
466 | ATP | oxygen atom | acidic solution | acid 
466 | ATP | oxygen atom | acidic solution | hydrogen ion 
466 | ATP | oxygen atom | acidic solution | anion 
467 | ATP | phosphorus atom | acidic solution | water 
467 | ATP | phosphorus atom | acidic solution | acid 
467 | ATP | phosphorus atom | acidic solution | hydrogen ion 
467 | ATP | phosphorus atom | acidic solution | anion 
468 | ATP | oxygen atom | acidic solution | water 
468 | ATP | oxygen atom | acidic solution | acid 
468 | ATP | oxygen atom | acidic solution | hydrogen ion 
468 | ATP | oxygen atom | acidic solution | anion 
469 | ATP | hydrogen atom | acidic solution | water 
469 | ATP | hydrogen atom | acidic solution | acid 
469 | ATP | hydrogen atom | acidic solution | hydrogen ion 
469 | ATP | hydrogen atom | acidic solution | anion 
471 | polar substance | polar molecule | nucleoside | nitrogenous base 
471 | polar substance | polar molecule | nucleoside | pentose 
483 | manganese atom | neutron | water | water molecule 
483 | manganese atom | neutron | water | water molecule 
484 | manganese atom | valence electron | water | water molecule 
484 | manganese atom | valence electron | water | water molecule 
488 | hydrophobic substance | hydrophobic compound | muscle | muscle cell 
488 | hydrophobic substance | hydrophobic compound | muscle | muscle cell 
500 | motor protein | monomer | aqueous solution | water 
501 | motor protein | atom | aqueous solution | water 
502 | motor protein | polypeptide | aqueous solution | water 
509 | 3 phosphoglycerate | oxygen atom | actin | monomer 
510 | 3 phosphoglycerate | phosphorus atom | actin | monomer 
511 | 3 phosphoglycerate | oxygen atom | actin | monomer 
512 | 3 phosphoglycerate | hydrogen atom | actin | monomer 
537 | thylakoid membrane | plastoquinone | actin | monomer 
538 | thylakoid membrane | phospholipid bilayer | actin | monomer 
539 | thylakoid membrane | ATP synthase | actin | monomer 
540 | thylakoid membrane | thylakoid electron transport chain | actin | monomer 
554 | alcohol | oxygen atom | chromosome | DNA 
554 | alcohol | oxygen atom | chromosome | protein 
555 | alcohol | hydrogen atom | chromosome | DNA 
555 | alcohol | hydrogen atom | chromosome | protein 
556 | cell wall | carbohydrate | chromosome | DNA 
556 | cell wall | carbohydrate | chromosome | protein 
557 | cell wall | protein | chromosome | DNA 
557 | cell wall | protein | chromosome | protein 
565 | aldehyde | atom | amylopectin | monomer 
565 | aldehyde | atom | amylopectin | alpha glucose 
565 | aldehyde | atom | amylopectin | hydrogen atom 
565 | aldehyde | atom | amylopectin | oxygen atom 
565 | aldehyde | atom | amylopectin | oxygen atom 
568 | ER membrane | carbohydrate | cell wall | carbohydrate 
568 | ER membrane | carbohydrate | cell wall | protein 
569 | ER membrane | phospholipid bilayer | cell wall | carbohydrate 
569 | ER membrane | phospholipid bilayer | cell wall | protein 
570 | ER membrane | glycoprotein | cell wall | carbohydrate 
570 | ER membrane | glycoprotein | cell wall | protein 
571 | ER membrane | saturated fatty acid | cell wall | carbohydrate 
571 | ER membrane | saturated fatty acid | cell wall | protein 
597 | sodium chloride | sodium ion | aqueous solution | water 
622 | PGAP | oxygen atom | O2-gas | oxygen molecule 
623 | PGAP | phosphorus atom | O2-gas | oxygen molecule 
624 | PGAP | oxygen atom | O2-gas | oxygen molecule 
625 | PGAP | hydrogen atom | O2-gas | oxygen molecule 
626 | water molecule | oxygen atom | mesophyll | mesophyll cell 
626 | water molecule | oxygen atom | mesophyll | mesophyll cell 
626 | water molecule | oxygen atom | mesophyll | mesophyll cell 
627 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
627 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
627 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
628 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
628 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
628 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
685 | hydrogen ion | proton | proline | hydrogen atom 
685 | hydrogen ion | proton | proline | nitrogen atom 
690 | glycolipid | atom | chloroplast | protein enzyme 
690 | glycolipid | atom | chloroplast | chloroplast membrane 
690 | glycolipid | atom | chloroplast | protein enzyme 
690 | glycolipid | atom | chloroplast | carotenoid 
690 | glycolipid | atom | chloroplast | granum 
690 | glycolipid | atom | chloroplast | stroma 
690 | glycolipid | atom | chloroplast | protein enzyme 
690 | glycolipid | atom | chloroplast | ribosome 
691 | glycolipid | carbohydrate side chain | chloroplast | protein enzyme 
691 | glycolipid | carbohydrate side chain | chloroplast | chloroplast membrane 
691 | glycolipid | carbohydrate side chain | chloroplast | protein enzyme 
691 | glycolipid | carbohydrate side chain | chloroplast | carotenoid 
691 | glycolipid | carbohydrate side chain | chloroplast | granum 
691 | glycolipid | carbohydrate side chain | chloroplast | stroma 
691 | glycolipid | carbohydrate side chain | chloroplast | protein enzyme 
691 | glycolipid | carbohydrate side chain | chloroplast | ribosome 
693 | phospholipid bilayer | phospholipid | buffered solution | buffer 
694 | phospholipid bilayer | phospholipid | buffered solution | buffer 
695 | phospholipid bilayer | lipid | buffered solution | buffer 
696 | phospholipid bilayer | lipid | buffered solution | buffer 
697 | phospholipid bilayer | lipid | buffered solution | buffer 
698 | phospholipid bilayer | lipid | buffered solution | buffer 
699 | phospholipid bilayer | phospholipid | buffered solution | buffer 
729 | lysosomal enzyme | monomer | water vapour | water molecule 
730 | lysosomal enzyme | atom | water vapour | water molecule 
731 | lysosomal enzyme | polypeptide | water vapour | water molecule 
740 | acetaldehyde | hydrogen atom | centrosome | centriole 
760 | NADH | atom | algae | water 
792 | neutral solution | hydroxide ion | glycerol | hydrogen atom 
793 | neutral solution | hydrogen ion | glycerol | hydrogen atom 
820 | organic molecule | atom | exoskeleton | chitin 
822 | motor protein | monomer | centrosome | centriole 
823 | motor protein | atom | centrosome | centriole 
824 | motor protein | polypeptide | centrosome | centriole 
848 | sodium atom | neutron | proline | hydrogen atom 
848 | sodium atom | neutron | proline | nitrogen atom 
849 | sodium atom | valence electron | proline | hydrogen atom 
849 | sodium atom | valence electron | proline | nitrogen atom 
874 | light | photon | ER membrane | carbohydrate 
874 | light | photon | ER membrane | phospholipid bilayer 
874 | light | photon | ER membrane | glycoprotein 
874 | light | photon | ER membrane | saturated fatty acid 
879 | carotenoid | magnesium atom | protein | polypeptide 
885 | potassium ion | electron | algae | water 
886 | potassium ion | neutron | algae | water 
887 | potassium ion | proton | algae | water 
893 | phosphatidylcholine | fatty acid | hydrophilic substance | hydrophilic compound 
916 | plastocyanin | monomer | centrosome | centriole 
922 | chlorophyll A | magnesium atom | exoskeleton | chitin 
923 | chlorophyll A | hydrogen atom | exoskeleton | chitin 
928 | methionine | oxygen atom | water molecule | oxygen atom 
928 | methionine | oxygen atom | water molecule | hydrogen atom 
928 | methionine | oxygen atom | water molecule | hydrogen atom 
929 | methionine | oxygen atom | water molecule | oxygen atom 
929 | methionine | oxygen atom | water molecule | hydrogen atom 
929 | methionine | oxygen atom | water molecule | hydrogen atom 
930 | methionine | sulfur atom | water molecule | oxygen atom 
930 | methionine | sulfur atom | water molecule | hydrogen atom 
930 | methionine | sulfur atom | water molecule | hydrogen atom 
937 | intermediate filament | monomer | centrosome | centriole 
938 | intermediate filament | polypeptide | centrosome | centriole 
939 | intermediate filament | atom | centrosome | centriole 
940 | intermediate filament | monomer | centrosome | centriole 
950 | algae | water | cell wall | carbohydrate 
950 | algae | water | cell wall | protein 
960 | sunlight | ultraviolet ray | mesophyll | mesophyll cell 
960 | sunlight | ultraviolet ray | mesophyll | mesophyll cell 
960 | sunlight | ultraviolet ray | mesophyll | mesophyll cell 
961 | sunlight | infrared ray | mesophyll | mesophyll cell 
961 | sunlight | infrared ray | mesophyll | mesophyll cell 
961 | sunlight | infrared ray | mesophyll | mesophyll cell 
962 | sunlight | visible light | mesophyll | mesophyll cell 
962 | sunlight | visible light | mesophyll | mesophyll cell 
962 | sunlight | visible light | mesophyll | mesophyll cell 
963 | smooth endoplasmic reticulum | ER membrane | polymer | monomer 
963 | smooth endoplasmic reticulum | ER membrane | polymer | monomer 
964 | smooth endoplasmic reticulum | cisterna | polymer | monomer 
964 | smooth endoplasmic reticulum | cisterna | polymer | monomer 
965 | smooth endoplasmic reticulum | aqueous solution | polymer | monomer 
965 | smooth endoplasmic reticulum | aqueous solution | polymer | monomer 
966 | smooth endoplasmic reticulum | protein enzyme | polymer | monomer 
966 | smooth endoplasmic reticulum | protein enzyme | polymer | monomer 
967 | smooth endoplasmic reticulum | protein enzyme | polymer | monomer 
967 | smooth endoplasmic reticulum | protein enzyme | polymer | monomer 
995 | hemoglobin | monomer | chromosome | DNA 
995 | hemoglobin | monomer | chromosome | protein 
996 | hemoglobin | atom | chromosome | DNA 
996 | hemoglobin | atom | chromosome | protein 
997 | water vapour | water molecule | phospholipid bilayer | phospholipid 
997 | water vapour | water molecule | phospholipid bilayer | phospholipid 
997 | water vapour | water molecule | phospholipid bilayer | lipid 
997 | water vapour | water molecule | phospholipid bilayer | lipid 
997 | water vapour | water molecule | phospholipid bilayer | lipid 
997 | water vapour | water molecule | phospholipid bilayer | lipid 
997 | water vapour | water molecule | phospholipid bilayer | phospholipid 
1007 | RNA | monomer | walled cell | cell wall 
1008 | RNA | monomer | walled cell | cell wall 
1009 | flagellum | protein enzyme | basic solution | cation 
1009 | flagellum | protein enzyme | basic solution | water 
1009 | flagellum | protein enzyme | basic solution | base 
1009 | flagellum | protein enzyme | basic solution | hydroxide ion 
1019 | lysosome | lysosomal enzyme | animal | animal cell 
1019 | lysosome | lysosomal enzyme | animal | water 
1020 | lysosome | lysosomal enzyme | animal | animal cell 
1020 | lysosome | lysosomal enzyme | animal | water 
1038 | carotenoid | magnesium atom | muscle | muscle cell 
1038 | carotenoid | magnesium atom | muscle | muscle cell 
1049 | rubisco | polypeptide | buffer | weak acid 
1049 | rubisco | polypeptide | buffer | base 
1050 | rubisco | atom | buffer | weak acid 
1050 | rubisco | atom | buffer | base 
1051 | rubisco | monomer | buffer | weak acid 
1051 | rubisco | monomer | buffer | base 
1061 | ADP | oxygen atom | ice | water molecule 
1061 | ADP | oxygen atom | ice | water molecule 
1062 | ADP | phosphorus atom | ice | water molecule 
1062 | ADP | phosphorus atom | ice | water molecule 
1063 | ADP | oxygen atom | ice | water molecule 
1063 | ADP | oxygen atom | ice | water molecule 
1069 | hypertonic solution | water | polymer | monomer 
1069 | hypertonic solution | water | polymer | monomer 
1079 | tubulin | beta tubulin | endoplasmic reticulum | ER membrane 
1079 | tubulin | beta tubulin | endoplasmic reticulum | cisterna 
1079 | tubulin | beta tubulin | endoplasmic reticulum | protein enzyme 
1079 | tubulin | beta tubulin | endoplasmic reticulum | aqueous solution 
1079 | tubulin | beta tubulin | endoplasmic reticulum | cisterna 
1080 | tubulin | alpha tubulin | endoplasmic reticulum | ER membrane 
1080 | tubulin | alpha tubulin | endoplasmic reticulum | cisterna 
1080 | tubulin | alpha tubulin | endoplasmic reticulum | protein enzyme 
1080 | tubulin | alpha tubulin | endoplasmic reticulum | aqueous solution 
1080 | tubulin | alpha tubulin | endoplasmic reticulum | cisterna 
1081 | tubulin | monomer | endoplasmic reticulum | ER membrane 
1081 | tubulin | monomer | endoplasmic reticulum | cisterna 
1081 | tubulin | monomer | endoplasmic reticulum | protein enzyme 
1081 | tubulin | monomer | endoplasmic reticulum | aqueous solution 
1081 | tubulin | monomer | endoplasmic reticulum | cisterna 
1082 | tubulin | atom | endoplasmic reticulum | ER membrane 
1082 | tubulin | atom | endoplasmic reticulum | cisterna 
1082 | tubulin | atom | endoplasmic reticulum | protein enzyme 
1082 | tubulin | atom | endoplasmic reticulum | aqueous solution 
1082 | tubulin | atom | endoplasmic reticulum | cisterna 
1087 | boron atom | proton | hydrophobic substance | hydrophobic compound 
1088 | boron atom | electron | hydrophobic substance | hydrophobic compound 
1089 | boron atom | neutron | hydrophobic substance | hydrophobic compound 
1090 | boron atom | valence electron | hydrophobic substance | hydrophobic compound 
1105 | plastid | aqueous solution | basic solution | cation 
1105 | plastid | aqueous solution | basic solution | water 
1105 | plastid | aqueous solution | basic solution | base 
1105 | plastid | aqueous solution | basic solution | hydroxide ion 
1125 | buffered solution | buffer | water molecule | oxygen atom 
1125 | buffered solution | buffer | water molecule | hydrogen atom 
1125 | buffered solution | buffer | water molecule | hydrogen atom 
1126 | steroid | atom | acidic solution | water 
