0 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
98 | C4 plant | C4-photosynthesis | ATP synthase | Facilitated diffusion 
98 | C4 plant | C4-photosynthesis | ATP synthase | Synthesis of ATP 
99 | C4 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
99 | C4 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
105 | cotransporter | Cotransport | C4 plant | C4-photosynthesis 
105 | cotransporter | Cotransport | C4 plant | Starch storage by plant 
106 | cotransporter | Exergonic process | C4 plant | C4-photosynthesis 
106 | cotransporter | Exergonic process | C4 plant | Starch storage by plant 
107 | lysosome | Intracellular digestion | lysosome | Intracellular digestion 
107 | lysosome | Intracellular digestion | lysosome | Autophagy 
108 | lysosome | Autophagy | lysosome | Intracellular digestion 
108 | lysosome | Autophagy | lysosome | Autophagy 
109 | radioactive isotope | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
112 | cotransporter | Cotransport | pepsin | Hydrolysis 
113 | cotransporter | Exergonic process | pepsin | Hydrolysis 
117 | CAM plant | Starch storage by plant | C4 plant | C4-photosynthesis 
117 | CAM plant | Starch storage by plant | C4 plant | Starch storage by plant 
118 | CAM plant | Crassulacean acid metabolism | C4 plant | C4-photosynthesis 
118 | CAM plant | Crassulacean acid metabolism | C4 plant | Starch storage by plant 
123 | ribonuclease | Hydrolysis | pepsin | Hydrolysis 
143 | lysosomal enzyme | Hydrolysis | thylakoid | Light reaction 
145 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
149 | ribonuclease | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
151 | cotransporter | Cotransport | ATP synthase | Facilitated diffusion 
151 | cotransporter | Cotransport | ATP synthase | Synthesis of ATP 
152 | cotransporter | Exergonic process | ATP synthase | Facilitated diffusion 
152 | cotransporter | Exergonic process | ATP synthase | Synthesis of ATP 
158 | dynein | Dynein walking | CAM plant | Starch storage by plant 
158 | dynein | Dynein walking | CAM plant | Crassulacean acid metabolism 
159 | ATP synthase | Facilitated diffusion | pepsin | Hydrolysis 
160 | ATP synthase | Synthesis of ATP | pepsin | Hydrolysis 
161 | cotransporter | Cotransport | plant | Starch storage by plant 
161 | cotransporter | Cotransport | plant | Photosynthesis 
162 | cotransporter | Exergonic process | plant | Starch storage by plant 
162 | cotransporter | Exergonic process | plant | Photosynthesis 
170 | mitochondrion | Eukaryotic oxidative phosphorylation | pepsin | Hydrolysis 
171 | mitochondrion | Eukaryotic pyruvate oxidation | pepsin | Hydrolysis 
175 | cytoplasmic protein kinase | Phosphorylation | ribonuclease | Hydrolysis 
178 | dynein | Dynein walking | thylakoid | Light reaction 
179 | phosphofructokinase | Phosphorylation | plant | Starch storage by plant 
179 | phosphofructokinase | Phosphorylation | plant | Photosynthesis 
180 | phosphofructokinase | Phosphorylation | pepsin | Hydrolysis 
184 | ribonuclease | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
191 | cytoplasmic protein kinase | Phosphorylation | carbon 14 atom | Radioactivity 
192 | phosphofructokinase | Phosphorylation | ribonuclease | Hydrolysis 
194 | ribonuclease | Hydrolysis | ribonuclease | Hydrolysis 
197 | carbon 14 atom | Radioactivity | ATP synthase | Facilitated diffusion 
197 | carbon 14 atom | Radioactivity | ATP synthase | Synthesis of ATP 
201 | mitochondrion | Eukaryotic oxidative phosphorylation | cytoplasmic protein kinase | Phosphorylation 
202 | mitochondrion | Eukaryotic pyruvate oxidation | cytoplasmic protein kinase | Phosphorylation 
203 | cytoplasmic protein kinase | Phosphorylation | plant | Starch storage by plant 
203 | cytoplasmic protein kinase | Phosphorylation | plant | Photosynthesis 
205 | chloroplast | Photosynthesis | plant | Starch storage by plant 
205 | chloroplast | Photosynthesis | plant | Photosynthesis 
213 | dynein | Dynein walking | C4 plant | C4-photosynthesis 
213 | dynein | Dynein walking | C4 plant | Starch storage by plant 
214 | macrophage | Phagocytosis | carbon 14 atom | Radioactivity 
219 | dynein | Dynein walking | radioactive isotope | Radioactivity 
222 | smooth endoplasmic reticulum | Metabolism | CAM plant | Starch storage by plant 
222 | smooth endoplasmic reticulum | Metabolism | CAM plant | Crassulacean acid metabolism 
223 | transport membrane protein | Facilitated diffusion | carbon 14 atom | Radioactivity 
225 | plant | Starch storage by plant | thylakoid | Light reaction 
226 | plant | Photosynthesis | thylakoid | Light reaction 
232 | thylakoid | Light reaction | C4 plant | C4-photosynthesis 
232 | thylakoid | Light reaction | C4 plant | Starch storage by plant 
235 | cotransporter | Cotransport | plant | Starch storage by plant 
235 | cotransporter | Cotransport | plant | Photosynthesis 
236 | cotransporter | Exergonic process | plant | Starch storage by plant 
236 | cotransporter | Exergonic process | plant | Photosynthesis 
237 | transport membrane protein | Facilitated diffusion | radioactive isotope | Radioactivity 
238 | macrophage | Phagocytosis | ATP synthase | Facilitated diffusion 
238 | macrophage | Phagocytosis | ATP synthase | Synthesis of ATP 
243 | C3 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
243 | C3 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
245 | transport membrane protein | Facilitated diffusion | C4 plant | C4-photosynthesis 
245 | transport membrane protein | Facilitated diffusion | C4 plant | Starch storage by plant 
246 | ribonuclease | Hydrolysis | ATP synthase | Facilitated diffusion 
246 | ribonuclease | Hydrolysis | ATP synthase | Synthesis of ATP 
252 | CAM plant | Starch storage by plant | lysosome | Intracellular digestion 
252 | CAM plant | Starch storage by plant | lysosome | Autophagy 
253 | CAM plant | Crassulacean acid metabolism | lysosome | Intracellular digestion 
253 | CAM plant | Crassulacean acid metabolism | lysosome | Autophagy 
254 | plant | Starch storage by plant | radioactive isotope | Radioactivity 
255 | plant | Photosynthesis | radioactive isotope | Radioactivity 
267 | C4 plant | C4-photosynthesis | lysosome | Intracellular digestion 
267 | C4 plant | C4-photosynthesis | lysosome | Autophagy 
268 | C4 plant | Starch storage by plant | lysosome | Intracellular digestion 
268 | C4 plant | Starch storage by plant | lysosome | Autophagy 
298 | rough endoplasmic reticulum | Metabolism | pepsin | Hydrolysis 
300 | lysosome | Intracellular digestion | lysosome | Intracellular digestion 
300 | lysosome | Intracellular digestion | lysosome | Autophagy 
301 | lysosome | Autophagy | lysosome | Intracellular digestion 
301 | lysosome | Autophagy | lysosome | Autophagy 
302 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
303 | transport membrane protein | Facilitated diffusion | CAM plant | Starch storage by plant 
303 | transport membrane protein | Facilitated diffusion | CAM plant | Crassulacean acid metabolism 
305 | radioactive isotope | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
312 | C3 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
312 | C3 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
315 | pepsin | Hydrolysis | thylakoid | Light reaction 
321 | cellulose | Adhesion | cytoplasmic protein kinase | Phosphorylation 
326 | carbon 14 atom | Radioactivity | ATP synthase | Facilitated diffusion 
326 | carbon 14 atom | Radioactivity | ATP synthase | Synthesis of ATP 
334 | smooth endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
336 | carbon 14 atom | Radioactivity | carbon 14 atom | Radioactivity 
340 | C3 plant | Starch storage by plant | plant | Starch storage by plant 
340 | C3 plant | Starch storage by plant | plant | Photosynthesis 
345 | rough endoplasmic reticulum | Metabolism | C4 plant | C4-photosynthesis 
345 | rough endoplasmic reticulum | Metabolism | C4 plant | Starch storage by plant 
346 | ribonuclease | Hydrolysis | ATP synthase | Facilitated diffusion 
346 | ribonuclease | Hydrolysis | ATP synthase | Synthesis of ATP 
353 | PEP carboxylase | Carbon fixation | plant | Starch storage by plant 
353 | PEP carboxylase | Carbon fixation | plant | Photosynthesis 
354 | cytoplasmic protein kinase | Phosphorylation | pepsin | Hydrolysis 
356 | smooth endoplasmic reticulum | Metabolism | plant | Starch storage by plant 
356 | smooth endoplasmic reticulum | Metabolism | plant | Photosynthesis 
358 | carbon 14 atom | Radioactivity | ribonuclease | Hydrolysis 
360 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
362 | transport membrane protein | Facilitated diffusion | plant | Starch storage by plant 
362 | transport membrane protein | Facilitated diffusion | plant | Photosynthesis 
363 | carbon 14 atom | Radioactivity | ribonuclease | Hydrolysis 
366 | phosphofructokinase | Phosphorylation | CAM plant | Starch storage by plant 
366 | phosphofructokinase | Phosphorylation | CAM plant | Crassulacean acid metabolism 
367 | ribonuclease | Hydrolysis | ribonuclease | Hydrolysis 
376 | C4 plant | C4-photosynthesis | cytoplasmic protein kinase | Phosphorylation 
377 | C4 plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
382 | plant | Starch storage by plant | ribonuclease | Hydrolysis 
383 | plant | Photosynthesis | ribonuclease | Hydrolysis 
384 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Starch storage by plant 
384 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Photosynthesis 
385 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Starch storage by plant 
385 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Photosynthesis 
395 | pepsin | Hydrolysis | pepsin | Hydrolysis 
398 | cotransporter | Cotransport | cytoplasmic protein kinase | Phosphorylation 
399 | cotransporter | Exergonic process | cytoplasmic protein kinase | Phosphorylation 
401 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
402 | ATP synthase | Facilitated diffusion | lysosome | Intracellular digestion 
402 | ATP synthase | Facilitated diffusion | lysosome | Autophagy 
403 | ATP synthase | Synthesis of ATP | lysosome | Intracellular digestion 
403 | ATP synthase | Synthesis of ATP | lysosome | Autophagy 
405 | lysosomal enzyme | Hydrolysis | radioactive isotope | Radioactivity 
412 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Starch storage by plant 
412 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Photosynthesis 
413 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Starch storage by plant 
413 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Photosynthesis 
416 | carbon 14 atom | Radioactivity | plant | Starch storage by plant 
416 | carbon 14 atom | Radioactivity | plant | Photosynthesis 
425 | PEP carboxylase | Carbon fixation | thylakoid | Light reaction 
426 | thylakoid | Light reaction | pepsin | Hydrolysis 
431 | transport membrane protein | Facilitated diffusion | pepsin | Hydrolysis 
438 | chloroplast | Photosynthesis | ribonuclease | Hydrolysis 
448 | C3 plant | Starch storage by plant | carbon 14 atom | Radioactivity 
450 | ribonuclease | Hydrolysis | radioactive isotope | Radioactivity 
456 | plant | Starch storage by plant | C4 plant | C4-photosynthesis 
456 | plant | Starch storage by plant | C4 plant | Starch storage by plant 
457 | plant | Photosynthesis | C4 plant | C4-photosynthesis 
457 | plant | Photosynthesis | C4 plant | Starch storage by plant 
461 | dynein | Dynein walking | cytoplasmic protein kinase | Phosphorylation 
463 | lysosome | Intracellular digestion | plant | Starch storage by plant 
463 | lysosome | Intracellular digestion | plant | Photosynthesis 
464 | lysosome | Autophagy | plant | Starch storage by plant 
464 | lysosome | Autophagy | plant | Photosynthesis 
469 | rough endoplasmic reticulum | Metabolism | C4 plant | C4-photosynthesis 
469 | rough endoplasmic reticulum | Metabolism | C4 plant | Starch storage by plant 
474 | C4 plant | C4-photosynthesis | carbon 14 atom | Radioactivity 
475 | C4 plant | Starch storage by plant | carbon 14 atom | Radioactivity 
489 | chloroplast | Photosynthesis | lysosome | Intracellular digestion 
489 | chloroplast | Photosynthesis | lysosome | Autophagy 
493 | C4 plant | C4-photosynthesis | C4 plant | C4-photosynthesis 
493 | C4 plant | C4-photosynthesis | C4 plant | Starch storage by plant 
494 | C4 plant | Starch storage by plant | C4 plant | C4-photosynthesis 
494 | C4 plant | Starch storage by plant | C4 plant | Starch storage by plant 
495 | rough endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
495 | rough endoplasmic reticulum | Metabolism | lysosome | Autophagy 
498 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
498 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
499 | dynein | Dynein walking | lysosome | Intracellular digestion 
499 | dynein | Dynein walking | lysosome | Autophagy 
500 | cotransporter | Cotransport | radioactive isotope | Radioactivity 
501 | cotransporter | Exergonic process | radioactive isotope | Radioactivity 
512 | radioactive isotope | Radioactivity | C4 plant | C4-photosynthesis 
512 | radioactive isotope | Radioactivity | C4 plant | Starch storage by plant 
517 | CAM plant | Starch storage by plant | plant | Starch storage by plant 
517 | CAM plant | Starch storage by plant | plant | Photosynthesis 
518 | CAM plant | Crassulacean acid metabolism | plant | Starch storage by plant 
518 | CAM plant | Crassulacean acid metabolism | plant | Photosynthesis 
519 | ATP synthase | Facilitated diffusion | pepsin | Hydrolysis 
520 | ATP synthase | Synthesis of ATP | pepsin | Hydrolysis 
529 | C3 plant | Starch storage by plant | pepsin | Hydrolysis 
543 | thylakoid | Light reaction | carbon 14 atom | Radioactivity 
544 | thylakoid | Light reaction | lysosome | Intracellular digestion 
544 | thylakoid | Light reaction | lysosome | Autophagy 
547 | phosphofructokinase | Phosphorylation | ATP synthase | Facilitated diffusion 
547 | phosphofructokinase | Phosphorylation | ATP synthase | Synthesis of ATP 
550 | rough endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
553 | PEP carboxylase | Carbon fixation | CAM plant | Starch storage by plant 
553 | PEP carboxylase | Carbon fixation | CAM plant | Crassulacean acid metabolism 
556 | CAM plant | Starch storage by plant | plant | Starch storage by plant 
556 | CAM plant | Starch storage by plant | plant | Photosynthesis 
557 | CAM plant | Crassulacean acid metabolism | plant | Starch storage by plant 
557 | CAM plant | Crassulacean acid metabolism | plant | Photosynthesis 
560 | thylakoid | Light reaction | ATP synthase | Facilitated diffusion 
560 | thylakoid | Light reaction | ATP synthase | Synthesis of ATP 
562 | rough endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
562 | rough endoplasmic reticulum | Metabolism | lysosome | Autophagy 
563 | cotransporter | Cotransport | lysosome | Intracellular digestion 
563 | cotransporter | Cotransport | lysosome | Autophagy 
564 | cotransporter | Exergonic process | lysosome | Intracellular digestion 
564 | cotransporter | Exergonic process | lysosome | Autophagy 
568 | macrophage | Phagocytosis | ATP synthase | Facilitated diffusion 
568 | macrophage | Phagocytosis | ATP synthase | Synthesis of ATP 
576 | C4 plant | C4-photosynthesis | cytoplasmic protein kinase | Phosphorylation 
577 | C4 plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
578 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
579 | CAM plant | Crassulacean acid metabolism | thylakoid | Light reaction 
581 | CAM plant | Starch storage by plant | CAM plant | Starch storage by plant 
581 | CAM plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
582 | CAM plant | Crassulacean acid metabolism | CAM plant | Starch storage by plant 
582 | CAM plant | Crassulacean acid metabolism | CAM plant | Crassulacean acid metabolism 
583 | PEP carboxylase | Carbon fixation | cytoplasmic protein kinase | Phosphorylation 
585 | thylakoid | Light reaction | ATP synthase | Facilitated diffusion 
585 | thylakoid | Light reaction | ATP synthase | Synthesis of ATP 
591 | macrophage | Phagocytosis | ATP synthase | Facilitated diffusion 
591 | macrophage | Phagocytosis | ATP synthase | Synthesis of ATP 
593 | transport membrane protein | Facilitated diffusion | thylakoid | Light reaction 
594 | radioactive isotope | Radioactivity | ATP synthase | Facilitated diffusion 
594 | radioactive isotope | Radioactivity | ATP synthase | Synthesis of ATP 
595 | lysosomal enzyme | Hydrolysis | plant | Starch storage by plant 
595 | lysosomal enzyme | Hydrolysis | plant | Photosynthesis 
607 | smooth endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
613 | cotransporter | Cotransport | plant | Starch storage by plant 
613 | cotransporter | Cotransport | plant | Photosynthesis 
614 | cotransporter | Exergonic process | plant | Starch storage by plant 
614 | cotransporter | Exergonic process | plant | Photosynthesis 
618 | carbon 14 atom | Radioactivity | C4 plant | C4-photosynthesis 
618 | carbon 14 atom | Radioactivity | C4 plant | Starch storage by plant 
619 | PEP carboxylase | Carbon fixation | C4 plant | C4-photosynthesis 
619 | PEP carboxylase | Carbon fixation | C4 plant | Starch storage by plant 
621 | rough endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
624 | macrophage | Phagocytosis | C4 plant | C4-photosynthesis 
624 | macrophage | Phagocytosis | C4 plant | Starch storage by plant 
630 | dynein | Dynein walking | thylakoid | Light reaction 
633 | PEP carboxylase | Carbon fixation | cytoplasmic protein kinase | Phosphorylation 
634 | carbon 14 atom | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
635 | dynein | Dynein walking | CAM plant | Starch storage by plant 
635 | dynein | Dynein walking | CAM plant | Crassulacean acid metabolism 
637 | cellulose | Adhesion | ribonuclease | Hydrolysis 
638 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
641 | lysosomal enzyme | Hydrolysis | ATP synthase | Facilitated diffusion 
641 | lysosomal enzyme | Hydrolysis | ATP synthase | Synthesis of ATP 
650 | thylakoid | Light reaction | ribonuclease | Hydrolysis 
651 | lysosome | Intracellular digestion | ATP synthase | Facilitated diffusion 
651 | lysosome | Intracellular digestion | ATP synthase | Synthesis of ATP 
652 | lysosome | Autophagy | ATP synthase | Facilitated diffusion 
652 | lysosome | Autophagy | ATP synthase | Synthesis of ATP 
653 | carbon 14 atom | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
655 | mitochondrion | Eukaryotic oxidative phosphorylation | radioactive isotope | Radioactivity 
656 | mitochondrion | Eukaryotic pyruvate oxidation | radioactive isotope | Radioactivity 
657 | plant | Starch storage by plant | radioactive isotope | Radioactivity 
658 | plant | Photosynthesis | radioactive isotope | Radioactivity 
671 | PEP carboxylase | Carbon fixation | radioactive isotope | Radioactivity 
674 | transport membrane protein | Facilitated diffusion | radioactive isotope | Radioactivity 
676 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
676 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
677 | carbon 14 atom | Radioactivity | ATP synthase | Facilitated diffusion 
677 | carbon 14 atom | Radioactivity | ATP synthase | Synthesis of ATP 
681 | macrophage | Phagocytosis | CAM plant | Starch storage by plant 
681 | macrophage | Phagocytosis | CAM plant | Crassulacean acid metabolism 
687 | pepsin | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
688 | macrophage | Phagocytosis | ribonuclease | Hydrolysis 
693 | cotransporter | Cotransport | carbon 14 atom | Radioactivity 
694 | cotransporter | Exergonic process | carbon 14 atom | Radioactivity 
698 | C3 plant | Starch storage by plant | CAM plant | Starch storage by plant 
698 | C3 plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
709 | cytoplasmic protein kinase | Phosphorylation | radioactive isotope | Radioactivity 
717 | radioactive isotope | Radioactivity | lysosome | Intracellular digestion 
717 | radioactive isotope | Radioactivity | lysosome | Autophagy 
718 | phosphofructokinase | Phosphorylation | ATP synthase | Facilitated diffusion 
718 | phosphofructokinase | Phosphorylation | ATP synthase | Synthesis of ATP 
719 | lysosomal enzyme | Hydrolysis | ribonuclease | Hydrolysis 
720 | macrophage | Phagocytosis | radioactive isotope | Radioactivity 
721 | mitochondrion | Eukaryotic oxidative phosphorylation | cytoplasmic protein kinase | Phosphorylation 
722 | mitochondrion | Eukaryotic pyruvate oxidation | cytoplasmic protein kinase | Phosphorylation 
723 | lysosome | Intracellular digestion | pepsin | Hydrolysis 
724 | lysosome | Autophagy | pepsin | Hydrolysis 
736 | C4 plant | C4-photosynthesis | CAM plant | Starch storage by plant 
736 | C4 plant | C4-photosynthesis | CAM plant | Crassulacean acid metabolism 
737 | C4 plant | Starch storage by plant | CAM plant | Starch storage by plant 
737 | C4 plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
742 | cotransporter | Cotransport | cytoplasmic protein kinase | Phosphorylation 
743 | cotransporter | Exergonic process | cytoplasmic protein kinase | Phosphorylation 
749 | carbon 14 atom | Radioactivity | ribonuclease | Hydrolysis 
750 | C4 plant | C4-photosynthesis | ribonuclease | Hydrolysis 
751 | C4 plant | Starch storage by plant | ribonuclease | Hydrolysis 
754 | smooth endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
756 | mitochondrion | Eukaryotic oxidative phosphorylation | carbon 14 atom | Radioactivity 
757 | mitochondrion | Eukaryotic pyruvate oxidation | carbon 14 atom | Radioactivity 
768 | ribonuclease | Hydrolysis | lysosome | Intracellular digestion 
768 | ribonuclease | Hydrolysis | lysosome | Autophagy 
769 | cellulose | Adhesion | CAM plant | Starch storage by plant 
769 | cellulose | Adhesion | CAM plant | Crassulacean acid metabolism 
776 | dynein | Dynein walking | radioactive isotope | Radioactivity 
777 | lysosome | Intracellular digestion | ATP synthase | Facilitated diffusion 
777 | lysosome | Intracellular digestion | ATP synthase | Synthesis of ATP 
778 | lysosome | Autophagy | ATP synthase | Facilitated diffusion 
778 | lysosome | Autophagy | ATP synthase | Synthesis of ATP 
779 | macrophage | Phagocytosis | plant | Starch storage by plant 
779 | macrophage | Phagocytosis | plant | Photosynthesis 
785 | carbon 14 atom | Radioactivity | thylakoid | Light reaction 
786 | ribonuclease | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
787 | ATP synthase | Facilitated diffusion | cytoplasmic protein kinase | Phosphorylation 
788 | ATP synthase | Synthesis of ATP | cytoplasmic protein kinase | Phosphorylation 
792 | cytoplasmic protein kinase | Phosphorylation | ATP synthase | Facilitated diffusion 
792 | cytoplasmic protein kinase | Phosphorylation | ATP synthase | Synthesis of ATP 
794 | cellulose | Adhesion | cytoplasmic protein kinase | Phosphorylation 
796 | C3 plant | Starch storage by plant | thylakoid | Light reaction 
799 | carbon 14 atom | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
801 | lysosomal enzyme | Hydrolysis | pepsin | Hydrolysis 
802 | ATP synthase | Facilitated diffusion | CAM plant | Starch storage by plant 
802 | ATP synthase | Facilitated diffusion | CAM plant | Crassulacean acid metabolism 
803 | ATP synthase | Synthesis of ATP | CAM plant | Starch storage by plant 
803 | ATP synthase | Synthesis of ATP | CAM plant | Crassulacean acid metabolism 
804 | PEP carboxylase | Carbon fixation | lysosome | Intracellular digestion 
804 | PEP carboxylase | Carbon fixation | lysosome | Autophagy 
805 | ribonuclease | Hydrolysis | thylakoid | Light reaction 
808 | CAM plant | Starch storage by plant | carbon 14 atom | Radioactivity 
809 | CAM plant | Crassulacean acid metabolism | carbon 14 atom | Radioactivity 
810 | carbon 14 atom | Radioactivity | plant | Starch storage by plant 
810 | carbon 14 atom | Radioactivity | plant | Photosynthesis 
822 | ATP synthase | Facilitated diffusion | lysosome | Intracellular digestion 
822 | ATP synthase | Facilitated diffusion | lysosome | Autophagy 
823 | ATP synthase | Synthesis of ATP | lysosome | Intracellular digestion 
823 | ATP synthase | Synthesis of ATP | lysosome | Autophagy 
830 | cellulose | Adhesion | lysosome | Intracellular digestion 
830 | cellulose | Adhesion | lysosome | Autophagy 
836 | PEP carboxylase | Carbon fixation | ribonuclease | Hydrolysis 
837 | pepsin | Hydrolysis | lysosome | Intracellular digestion 
837 | pepsin | Hydrolysis | lysosome | Autophagy 
840 | pepsin | Hydrolysis | CAM plant | Starch storage by plant 
840 | pepsin | Hydrolysis | CAM plant | Crassulacean acid metabolism 
842 | plant | Starch storage by plant | carbon 14 atom | Radioactivity 
843 | plant | Photosynthesis | carbon 14 atom | Radioactivity 
858 | macrophage | Phagocytosis | thylakoid | Light reaction 
870 | chloroplast | Photosynthesis | radioactive isotope | Radioactivity 
871 | cotransporter | Cotransport | ATP synthase | Facilitated diffusion 
871 | cotransporter | Cotransport | ATP synthase | Synthesis of ATP 
872 | cotransporter | Exergonic process | ATP synthase | Facilitated diffusion 
872 | cotransporter | Exergonic process | ATP synthase | Synthesis of ATP 
882 | lysosome | Intracellular digestion | thylakoid | Light reaction 
883 | lysosome | Autophagy | thylakoid | Light reaction 
886 | lysosome | Intracellular digestion | C4 plant | C4-photosynthesis 
886 | lysosome | Intracellular digestion | C4 plant | Starch storage by plant 
887 | lysosome | Autophagy | C4 plant | C4-photosynthesis 
887 | lysosome | Autophagy | C4 plant | Starch storage by plant 
899 | plant | Starch storage by plant | plant | Starch storage by plant 
899 | plant | Starch storage by plant | plant | Photosynthesis 
900 | plant | Photosynthesis | plant | Starch storage by plant 
900 | plant | Photosynthesis | plant | Photosynthesis 
